Municipio;ID;Unidad Poblacional;Habitantes
Higuera la Real;000300;HIGUERA LA REAL;2219
Hinojosa del Valle;000100;HINOJOSA DEL VALLE;475
Hornachos;000100;HORNACHOS;3537
Jerez de los Caballeros;000200;BAZANA (LA);348
Jerez de los Caballeros;000300;BROVALES;253
Jerez de los Caballeros;000400;JEREZ DE LOS CABALLEROS;8203
Jerez de los Caballeros;000500;VALUENGO;392
Lapa (La);000100;LAPA (LA);279
Lobón;000100;GUADAJIRA;523
Lobón;000200;LOBÓN;2233
Llera;000100;LLERA;829
Llerena;000200;LLERENA;5743
Magacela;000100;MAGACELA;523
Maguilla;000100;MAGUILLA;957
Malcocinado;000100;MALCOCINADO;356
Malpartida de la Serena;000100;MALPARTIDA DE LA SERENA;543
Manchita;000100;MANCHITA;764
Medellín;000100;MEDELLÍN;1945
Medellín;000200;YELBES;330
Medina de las Torres;000100;MEDINA DE LAS TORRES;1176
Mengabril;000100;MENGABRIL;498
Mérida;000100;CAMPOMANES;18
Mérida;000800;ESTACIÓN DE ALJUCÉN;8
Mérida;000900;ESTACIÓN DE EL CARRASCALEJO;4
Mérida;001200;MÉRIDA;58813
Mérida;001500;CARRIÓN;45
Mérida;001600;MIRALRÍO;93
Mérida;001700;PRADO (EL);8
Mérida;001800;PROSERPINA;290
Mérida;001900;PSIQUIÁTRICO;80
Mérida;002000;VIRGEN DE LA LUZ;37
Mérida;002100;VIVERO (EL);152
Mirandilla;000100;MIRANDILLA;1262
Monesterio;000100;MONESTERIO;4216
Montemolín;000100;MONTEMOLÍN;830
Montemolín;000200;PALLARÉS;378
Montemolín;000300;SANTA MARÍA DE NAVA;153
Monterrubio de la Serena;000100;MONTERRUBIO DE LA SERENA;2326
Montijo;000100;BARBAÑO;644
Montijo;000200;LÁCARA;231
Montijo;000300;MONTIJO;14629
Morera (La);000100;MORERA (LA);714
Nava de Santiago (La);000100;NAVA DE SANTIAGO (LA);926
Navalvillar de Pela;000100;NAVALVILLAR DE PELA;3918
Navalvillar de Pela;000200;OBANDO;205
Navalvillar de Pela;000300;VEGAS ALTAS;280
Nogales;000100;NOGALES;658
Oliva de la Frontera;000100;OLIVA DE LA FRONTERA;5086
Oliva de Mérida;000100;ABEJARONES DE ARRIBA Y ABAJO;0
Oliva de Mérida;000200;CAMPO AMENO;0
Oliva de Mérida;000300;OSA Y NAVAS (LA);0
Oliva de Mérida;000400;GARZA (LA);1
Oliva de Mérida;000500;OLIVA DE MÉRIDA;1719
Oliva de Mérida;000600;ZAPATERA (LA);5
Olivenza;000100;OLIVENZA;10093
Olivenza;000200;SAN BENITO DE LA CONTIENDA;573
Olivenza;000300;SAN FRANCISCO DE OLIVENZA;473
Olivenza;000400;SAN JORGE DE ALOR;442
Olivenza;000500;SAN RAFAEL DE OLIVENZA;247
Olivenza;000600;SANTO DOMINGO;17
Olivenza;000700;VILLARREAL;67
Orellana de la Sierra;000100;ORELLANA DE LA SIERRA;244
Orellana la Vieja;000100;ORELLANA LA VIEJA;2641
Palomas;000100;PALOMAS;671
Parra (La);000100;PARRA (LA);1327
Peñalsordo;000100;PEÑALSORDO;896
Peraleda del Zaucejo;000100;PERALEDA DEL ZAUCEJO;507
Puebla de Alcocer;000100;PUEBLA DE ALCOCER;1212
Puebla de la Calzada;000100;PUEBLA DE LA CALZADA;5834
Puebla de la Reina;000100;PUEBLA DE LA REINA;724
Puebla del Maestre;000100;PUEBLA DEL MAESTRE;670
Puebla del Prior;000100;PUEBLA DEL PRIOR;480
Puebla de Obando;000100;PUEBLA DE OBANDO;1839
Puebla de Sancho Pérez;000100;PUEBLA DE SANCHO PÉREZ;2654
Puebla de Sancho Pérez;000200;RAPOSO (EL);22
Quintana de la Serena;000100;QUINTANA DE LA SERENA;4574
Reina;000100;REINA;150
Rena;000100;RENA;610
Retamal de Llerena;000100;RETAMAL DE LLERENA;436
Ribera del Fresno;000100;RIBERA DEL FRESNO;3256
Risco;000100;RISCO;132
Roca de la Sierra (La);000100;ROCA DE LA SIERRA (LA);1455
Salvaleón;000100;SALVALEÓN;1721
Salvatierra de los Barros;000100;SALVATIERRA DE LOS BARROS;1607
Sancti-Spíritus;000100;SANCTI-SPÍRITUS;165
San Pedro de Mérida;000100;SAN PEDRO DE MÉRIDA;838
Santa Amalia;000100;SANTA AMALIA;3975
Santa Marta;000100;SANTA MARTA;4124
Santos de Maimona (Los);000300;SANTOS DE MAIMONA (LOS);8075
San Vicente de Alcántara;000100;DEHESA MAYORGA;43
San Vicente de Alcántara;000200;DEHESA PIEDRABUENA;7
San Vicente de Alcántara;000300;SAN VICENTE DE ALCÁNTARA;5327
Segura de León;000100;SEGURA DE LEÓN;1851
Siruela;000100;SIRUELA;1861
Solana de los Barros;000100;CORTEGANA;205
Solana de los Barros;000200;RETAMAL;483
Solana de los Barros;000300;SOLANA DE LOS BARROS;1913
Talarrubias;000100;PUERTO PEÑA;28
Talarrubias;000200;TALARRUBIAS;3378
Talavera la Real;000200;TALAVERA LA REAL;5314
Táliga;000100;TÁLIGA;678
Tamurejo;000100;TAMUREJO;212
Torre de Miguel Sesmero;000100;TORRE DE MIGUEL SESMERO;1246
Torremayor;000100;TORREMAYOR;949
Torremejía;000100;TORREMEJÍA;2257
Trasierra;000100;TRASIERRA;625
Trujillanos;000100;TRUJILLANOS;1376
Usagre;000400;USAGRE;1737
Usagre;000500;RAPOSO (EL);14
Valdecaballeros;000100;POBLADO A.E.T.E.A.;12
Valdecaballeros;000200;POBLADO C.N.V.;77
Valdecaballeros;000300;VALDECABALLEROS;976
Valdetorres;000100;VALDETORRES;1179
Valencia de las Torres;000300;VALENCIA DE LAS TORRES;540
Valencia del Mombuey;000100;VALENCIA DEL MOMBUEY;725
Valencia del Ventoso;000100;NUESTRA SEÑORA DEL VALLE;0
Valencia del Ventoso;000200;VALENCIA DEL VENTOSO;1960
Valverde de Burguillos;000100;VALVERDE DE BURGUILLOS;273
Valverde de Leganés;000100;VALVERDE DE LEGANÉS;4167
Valverde de Llerena;000100;VALVERDE DE LLERENA;570
Valverde de Mérida;000100;VALVERDE DE MÉRIDA;1047
Valle de la Serena;000100;VALLE DE LA SERENA;1172
Valle de Matamoros;000100;VALLE DE MATAMOROS;363
Valle de Santa Ana;000100;VALLE DE SANTA ANA;1143
Villafranca de los Barros;000300;VILLAFRANCA DE LOS BARROS;12673
Villagarcía de la Torre;000100;VILLAGARCÍA DE LA TORRE;906
Villagonzalo;000100;VILLAGONZALO;1234
Villalba de los Barros;000100;VILLALBA DE LOS BARROS;1475
Villanueva de la Serena;000100;CASAS DEL CASTILLO DE LA ENCOMIENDA;14
Villanueva de la Serena;000200;ENCOMIENDA O C.Y.C.A.;21
Villanueva de la Serena;000300;ENTRERRÍOS;774
Villanueva de la Serena;000400;VALDIVIA;1738
Villanueva de la Serena;000500;VILLANUEVA DE LA SERENA;22337
Villanueva de la Serena;000600;ZURBARÁN;868
Villanueva del Fresno;000100;VILLANUEVA DEL FRESNO;3364
Villar del Rey;000100;VILLAR DEL REY;2106
Villar de Rena;000100;PALAZUELO;487
Villar de Rena;000200;PUEBLA DE ALCOLLARÍN;375
Villar de Rena;000400;VILLAR DE RENA;491
Villarta de los Montes;000100;VILLARTA DE LOS MONTES;423
Zafra;000100;BUEN SUCESO;41
Zafra;000200;CABRAHÍGA;40
Zafra;000300;HUERTA PLATA;65
Zafra;000400;PALOMAR NAVAS;45
Zafra;000500;ZAFRA;16619
Zahínos;000100;ZAHÍNOS;2774
Zalamea de la Serena;000100;SAN CRISTÓBAL DE ZALAMEA;42
Zalamea de la Serena;000200;ZALAMEA DE LA SERENA;3503
Zarza-Capilla;000100;ZARZA-CAPILLA;310
Zarza (La);000100;ZARZA (LA);3402
Valdelacalzada;000100;VALDELACALZADA;2721
Pueblonuevo del Guadiana;000100;PUEBLONUEVO DEL GUADIANA;2008
Guadiana;000100;GUADIANA;2492
