Municipio;ID;Unidad Poblacional;Habitantes
Eljas;000100;ELJAS;894
Eljas;000200;SOTO (EL);7
Escurial;000100;ESCURIAL;865
Fresnedoso de Ibor;000100;FRESNEDOSO DE IBOR;262
Galisteo;000200;AVARIENTOS;2
Galisteo;000300;FUENTE DEL SAPO;0
Galisteo;000400;GALISTEO;896
Galisteo;000600;SARTALEJO;7
Galisteo;000700;VIÑUELAS;11
Galisteo;000800;JARILLA DEL SUR;0
Garciaz;000100;GARCIAZ;699
Garganta (La);000100;GARGANTA (LA);365
Garganta la Olla;000100;GARGANTA LA OLLA;926
Gargantilla;000100;GARGANTILLA;376
Gargüera;000100;GARGÜERA;164
Garrovillas de Alconétar;000100;GARROVILLAS DE ALCONÉTAR;2004
Garvín;000100;GARVÍN DE LA JARA;104
Gata;000100;GATA;851
Gata;000200;MOHEDA (LA);566
Gordo (El);000100;GORDO (EL);360
Granja (La);000100;GRANJA (LA);323
Guadalupe;000100;GUADALUPE;1828
Guijo de Coria;000100;GUIJO DE CORIA;196
Guijo de Galisteo;000100;BATÁN (EL);803
Guijo de Galisteo;000200;GUIJO DE GALISTEO;346
Guijo de Galisteo;000300;VALRÍO;358
Guijo de Granadilla;000100;GUIJO DE GRANADILLA;522
Guijo de Granadilla;000200;PANTANO DE GABRIEL Y GALÁN;0
Guijo de Santa Bárbara;000100;GUIJO DE SANTA BÁRBARA;378
Herguijuela;000100;HERGUIJUELA;274
Hernán-Pérez;000100;HERNÁN-PÉREZ;424
Herrera de Alcántara;000100;HERRERA DE ALCÁNTARA;240
Herreruela;000100;HERRERUELA;330
Hervás;000100;HERVÁS;3957
Higuera;000100;HIGUERA;110
Hinojal;000100;HINOJAL;404
Holguera;000100;HOLGUERA;637
Hoyos;000100;HOYOS;880
Huélaga;000100;HUÉLAGA;219
Ibahernando;000100;IBAHERNANDO;538
Jaraicejo;000100;JARAICEJO;456
Jaraíz de la Vera;000100;JARAÍZ DE LA VERA;6503
Jarandilla de la Vera;000100;JARANDILLA DE LA VERA;2805
Jarilla;000100;JARILLA;138
Jerte;000100;JERTE;1260
Ladrillar;000100;CABEZO;48
Ladrillar;000200;LADRILLAR;97
Ladrillar;000300;MESTAS (LAS);43
Ladrillar;000400;RIOMALO DE ARRIBA;4
Logrosán;000100;LOGROSÁN;1971
Losar de la Vera;000100;LOSAR DE LA VERA;2717
Madrigal de la Vera;000100;MADRIGAL DE LA VERA;1561
Madrigalejo;000100;MADRIGALEJO;1712
Madroñera;000100;MADROÑERA;2496
Majadas;000100;MAJADAS;1322
Malpartida de Cáceres;000100;MALPARTIDA DE CÁCERES;4076
Malpartida de Plasencia;000100;BAZAGONA (LA);15
Malpartida de Plasencia;000200;HAZA DE LA CONCEPCIÓN;6
Malpartida de Plasencia;000300;MALPARTIDA DE PLASENCIA;4529
Malpartida de Plasencia;000400;PALAZUELO-EMPALME;37
Malpartida de Plasencia;000500;PANTANO DE NAVABUENA;10
Malpartida de Plasencia;000600;URDIMALAS;5
Marchagaz;000100;MARCHAGAZ;203
Mata de Alcántara;000100;MATA DE ALCÁNTARA;301
Membrío;000100;MEMBRÍO;605
Mesas de Ibor;000100;MESAS DE IBOR;163
Miajadas;000100;ALONSO DE OJEDA;318
Miajadas;000200;CASAR DE MIAJADAS;270
Miajadas;000300;MIAJADAS;8939
Millanes;000100;MILLANES;255
Mirabel;000100;MIRABEL;661
Mohedas de Granadilla;000100;MOHEDAS DE GRANADILLA;838
Monroy;000100;MONROY;938
Montánchez;000100;MONTÁNCHEZ;1668
Montehermoso;000100;ATALAYA;0
Montehermoso;000200;MONTEHERMOSO;5717
Montehermoso;000300;VALRIO (MONTEHERMOSO);1
Moraleja;000400;MORALEJA;6696
Morcillo;000100;MORCILLO;358
Parque Natural de Monfragüe;000100;MONFRAGÜE;0
Navaconcejo;000100;NAVACONCEJO;2024
Navalmoral de la Mata;000100;NAVALMORAL DE LA MATA;17163
Navalvillar de Ibor;000100;NAVALVILLAR DE IBOR;388
Navas del Madroño;000100;NAVAS DEL MADROÑO;1280
Navezuelas;000100;NAVEZUELAS;632
Nuñomoral;000100;ACEITUNILLA;67
Nuñomoral;000200;ASEGUR;96
Nuñomoral;000300;CEREZAL;128
Nuñomoral;000400;FRAGOSA;138
Nuñomoral;000500;GASCO (EL);104
Nuñomoral;000600;MARTILANDRÁN;118
Nuñomoral;000700;NUÑOMORAL;300
Nuñomoral;000800;RUBIACO;81
Nuñomoral;000900;VEGAS DE CORIA;220
Oliva de Plasencia;000100;ALMENDRAL;2
Oliva de Plasencia;000200;OLIVA DE PLASENCIA;294
Palomero;000100;PALOMERO;396
Pasarón de la Vera;000100;PASARÓN DE LA VERA;604
Pedroso de Acim;000100;PEDROSO DE ACIM;80
Peraleda de la Mata;000100;PERALEDA DE LA MATA;1393
Peraleda de San Román;000100;PERALEDA DE SAN ROMÁN;300
Perales del Puerto;000100;PERALES DEL PUERTO;938
Pescueza;000100;PESCUEZA;146
Pesga (La);000100;PESGA (LA);1018
Piedras Albas;000100;PIEDRAS ALBAS;141
Pinofranqueado;000100;ALDEHUELA;17
Pinofranqueado;000200;AVELLANAR;14
Pinofranqueado;000300;CASTILLO;71
Pinofranqueado;000400;ERÍAS;56
Pinofranqueado;000500;HORCAJO;56
Pinofranqueado;000600;MESEGAL;30
Pinofranqueado;000700;MUELA;63
Pinofranqueado;000800;OVEJUELA;73
Pinofranqueado;000900;PINOFRANQUEADO;1193
Pinofranqueado;001000;ROBLEDO (PINOFRANQUEADO);50
Pinofranqueado;001100;SAUCEDA;69
Piornal;000100;PIORNAL;1483
Plasencia;000100;PLASENCIA;39454
Plasencia;000200;PRADOCHANO;149
Plasencia;000300;SAN GIL;257
Plasenzuela;000100;PLASENZUELA;487
Portaje;000100;PORTAJE;370
Portezuelo;000100;PORTEZUELO;211
Pozuelo de Zarzón;000100;POZUELO DE ZARZÓN;454
Puerto de Santa Cruz;000100;PUERTO DE SANTA CRUZ;304
Rebollar;000100;REBOLLAR;215
Riolobos;000100;PAJARES DE LA RIVERA;11
Riolobos;000200;RIOLOBOS;1190
Robledillo de Gata;000100;ROBLEDILLO DE GATA;90
Robledillo de la Vera;000100;ROBLEDILLO DE LA VERA;258
Robledillo de Trujillo;000100;ROBLEDILLO DE TRUJILLO;360
Robledollano;000100;ROBLEDOLLANO;294
Romangordo;000100;ROMANGORDO;263
Ruanes;000100;RUANES;80
Salorino;000100;SALORINO;560
Salvatierra de Santiago;000100;SALVATIERRA DE SANTIAGO;298
San Martín de Trevejo;000100;SAN MARTÍN DE TREVEJO;766
Santa Ana;000100;SANTA ANA;256
Santa Cruz de la Sierra;000100;SANTA CRUZ DE LA SIERRA;326
Santa Cruz de Paniagua;000100;BRONCO (EL);42
Santa Cruz de Paniagua;000200;SANTA CRUZ DE PANIAGUA;274
Santa Marta de Magasca;000100;SANTA MARTA DE MAGASCA;299
Santiago de Alcántara;000100;SANTIAGO DE ALCÁNTARA;507
Santiago del Campo;000100;SANTIAGO DEL CAMPO;237
Santibáñez el Alto;000100;SANTIBÁÑEZ EL ALTO;361
Santibáñez el Bajo;000100;SANTIBÁÑEZ EL BAJO;741
Saucedilla;000100;SAUCEDILLA;852
Segura de Toro;000100;SEGURA DE TORO;181
Serradilla;000100;SERRADILLA;1496
Serradilla;000200;VILLARREAL DE SAN CARLOS;11
Serrejón;000100;SERREJÓN;410
Sierra de Fuentes;000100;SIERRA DE FUENTES;1998
Talaván;000100;TALAVÁN;806
Talaveruela de la Vera;000100;TALAVERUELA DE LA VERA;298
Talayuela;000100;BARQUILLA (LA);341
Talayuela;000200;BARQUILLA DE PINARES;292
Talayuela;000300;CENTENILLO (EL);0
Talayuela;000900;SANTA MARÍA DE LAS LOMAS;315
Talayuela;001000;TALAYUELA;6393
Talayuela;001200;PALANCOSO;54
Tejeda de Tiétar;000100;TEJEDA DE TIÉTAR;563
Tejeda de Tiétar;000200;VALDEÍÑIGOS;210
Toril;000100;HERGUIJUELA (LA);41
Toril;000200;MAULIQUE;18
Toril;000300;MIRABEL (TORIL);17
Toril;000400;SALTO DE TORREJÓN;0
Toril;000500;TORIL;77
Tornavacas;000100;TORNAVACAS;1098
Torno (El);000100;TORNO (EL);851
Torrecilla de los Ángeles;000100;TORRECILLA DE LOS ÁNGELES;601
Torrecillas de la Tiesa;000100;TORRECILLAS DE LA TIESA;1070
Torre de Don Miguel;000100;TORRE DE DON MIGUEL;484
Torre de Santa María;000100;TORRE DE SANTA MARÍA;532
Torrejoncillo;000100;TORREJONCILLO;2576
Torrejoncillo;000200;VALDENCÍN;334
Torrejón el Rubio;000100;TORREJÓN EL RUBIO;546
Torremenga;000100;TORREMENGA;587
Torremocha;000100;TORREMOCHA;793
Torreorgaz;000100;TORREORGAZ;1656
Torrequemada;000100;TORREQUEMADA;560
Trujillo;000100;BELÉN;257
Trujillo;000200;HUERTAS DE LA MAGDALENA;92
Trujillo;000300;PAGO DE SAN CLEMENTE;47
Trujillo;000400;TRUJILLO;8516
Valdastillas;000100;VALDASTILLAS;321
Valdecañas de Tajo;000100;VALDECAÑAS DE TAJO;88
Valdecañas de Tajo;000200;VALDEMORENO;18
Valdefuentes;000100;VALDEFUENTES;1139
Valdehúncar;000100;VALDEHÚNCAR;171
Valdelacasa de Tajo;000100;VALDELACASA DE TAJO;348
El Cerro;000200;VALDELAMATANZA;153
Valdemorales;000100;VALDEMORALES;202
Valdeobispo;000100;VALDEOBISPO;644
Valencia de Alcántara;000100;ALCORNEO;35
Valencia de Alcántara;000200;ACEÑA DE LA BORREGA (LA);121
Valencia de Alcántara;000300;CASIÑAS (LAS);131
Valencia de Alcántara;000400;ESTACIÓN FERROCARRIL;59
Valencia de Alcántara;000500;FONTAÑERA (LA);107
Valencia de Alcántara;000600;HUERTAS DE CANSA (LAS);176
Valencia de Alcántara;000700;JOLA;28
Valencia de Alcántara;000800;LANCHUELAS (LAS);93
Valencia de Alcántara;000900;PINO (EL);87
Valencia de Alcántara;001000;SAN PEDRO DE LOS MAJARRETES;54
Valencia de Alcántara;001100;VALENCIA DE ALCÁNTARA;4482
Valverde de la Vera;000100;VALVERDE DE LA VERA;465
Valverde del Fresno;000100;VALVERDE DEL FRESNO;2250
Viandar de la Vera;000100;VIANDAR DE LA VERA;219
Villa del Campo;000100;VILLA DEL CAMPO;478
Villa del Rey;000100;VILLA DEL REY;133
Villamesías;000100;VILLAMESÍAS;259
Villamiel;000100;TREVEJO;10
Villamiel;000200;VILLAMIEL;390
Villanueva de la Sierra;000100;VILLANUEVA DE LA SIERRA;441
Villanueva de la Vera;000100;VILLANUEVA DE LA VERA;2062
Villar del Pedroso;000100;NAVATRASIERRA;163
Villar del Pedroso;000200;VILLAR DEL PEDROSO;419
Villar de Plasencia;000100;VILLAR DE PLASENCIA;233
Villasbuenas de Gata;000100;VILLASBUENAS DE GATA;376
Zarza de Granadilla;000100;ZARZA DE GRANADILLA;1800
Zarza de Granadilla;000200;GRANADILLA;0
Zarza de Montánchez;000100;ZARZA DE MONTÁNCHEZ;548
Zarza la Mayor;000100;ZARZA LA MAYOR;1199
Zorita;000100;ZORITA;1332
Rosalejo;000100;ROSALEJO;1334
Vegaviana;000100;VEGAVIANA;868
Alagón del Río;000100;ALAGÓN DEL RÍO;861
Alagón del Río;000200;RINCÓN (EL);71
Tiétar;000100;TIÉTAR;879
Pueblonuevo de Miramontes;000100;PUEBLONUEVO DE MIRAMONTES;782
