Municipio;ID;Unidad Poblacional;Habitantes
Acedera;000100;ACEDERA;132
Acedera;000200;GUADALPERALES (LOS);675
Aceuchal;000100;ACEUCHAL;5449
Ahillones;000100;AHILLONES;871
Alange;000100;ALANGE;1848
Albuera (La);000100;ALBUERA (LA);2028
Alburquerque;000100;ALBURQUERQUE;5132
Alburquerque;000200;BENAVENTE;102
Alburquerque;000300;CASAS DE SAN JUAN;60
Alburquerque;000400;SILVESTRE;13
Alburquerque;000500;TEJAREJO;36
Alconchel;000100;ALCONCHEL;1680
Alconera;000100;ALCONERA;744
Aljucén;000100;ALJUCÉN;260
Aljucén;000200;CHAPARRALES (LOS);4
Almendral;000100;ALMENDRAL;1232
Almendralejo;000100;ALMENDRALEJO;32901
Almendralejo;000200;SAN MARCOS;573
Arroyo de San Serván;000100;ARROYO DE SAN SERVÁN;4107
Atalaya;000100;ATALAYA;301
Azuaga;000100;AZUAGA;7733
Azuaga;000200;CARDENCHOSA (LA);120
Badajoz;000100;ALBALÁ;216
Badajoz;000200;ALCAZABA;242
Badajoz;000300;ALVARADO;408
Badajoz;000400;BADAJOZ;126848
Badajoz;000500;BALBOA;527
Badajoz;000600;BÓTOA;264
Badajoz;000700;CARBONERAS (LAS);22
Badajoz;000800;CORCHUELA (LA);290
Badajoz;000900;FRESNOS (LOS);685
Badajoz;001000;GÉVORA;2463
Badajoz;001200;NOVELDA DEL GUADIANA;925
Badajoz;001400;SAGRAJAS;572
Badajoz;001500;SANTA ENGRACIA;150
Badajoz;001600;VALDEBÓTOA;1327
Badajoz;001800;VILLAFRANCO DEL GUADIANA;1508
Badajoz;001900;ATALAYA (BADAJOZ);229
Badajoz;002000;CAMPOFRÍO;56
Badajoz;002100;CLUB CAMPO PINO;69
Badajoz;002200;CORAZÓN DE JESÚS;129
Badajoz;002300;CUARTEL DE SANCHA BRAVA;3
Badajoz;002400;DEHESILLA DE CALAMÓN;750
Badajoz;002500;GOLF GUADIANA;373
Badajoz;002600;MANANTÍO (EL);75
Badajoz;002700;MONTITOS (LOS);666
Badajoz;002800;PINARES (LOS);29
Badajoz;002900;RÍO CAYA;149
Badajoz;003000;TRES ARROYOS;401
Badajoz;003100;VAGUADAS (LAS);5346
Badajoz;003200;CERRO GORDO;5082
Badajoz;003300;PILARA (LA);898
Barcarrota;000100;BARCARROTA;3510
Baterno;000100;BATERNO;283
Benquerencia de la Serena;000100;BENQUERENCIA DE LA SERENA;282
Benquerencia de la Serena;000200;HELECHAL;316
Benquerencia de la Serena;000300;NAVA (LA);130
Benquerencia de la Serena;000400;PUERTO HURRACO;100
Benquerencia de la Serena;000500;PUERTO MEJORAL;1
Berlanga;000100;BERLANGA;2343
Bienvenida;000100;BIENVENIDA;2087
Bodonal de la Sierra;000100;BODONAL DE LA SIERRA;1049
Burguillos del Cerro;000100;BURGUILLOS DEL CERRO;3057
Cabeza del Buey;000100;ALMORCHÓN;53
Cabeza del Buey;000200;CABEZA DEL BUEY;4811
Cabeza la Vaca;000100;CABEZA LA VACA;1309
Calamonte;000100;CALAMONTE;6162
Calera de León;000100;CALERA DE LEÓN;960
Calzadilla de los Barros;000100;CALZADILLA DE LOS BARROS;755
Campanario;000100;CAMPANARIO;4832
Campanario;000200;GUARDA (LA);64
Campillo de Llerena;000100;CAMPILLO DE LLERENA;1360
Capilla;000100;CAPILLA;182
Carmonita;000100;CARMONITA;540
Carrascalejo (El);000100;CARRASCALEJO (EL);83
Carrascalejo (El);000200;CANCHO GORDO;0
