Municipio;ID;Unidad Poblacional;Habitantes
Guijo de Granadilla;000200;PANTANO DE GABRIEL Y GALÁN;0
Guijo de Santa Bárbara;000100;GUIJO DE SANTA BÁRBARA;387
Herguijuela;000100;HERGUIJUELA;286
Hernán-Pérez;000100;HERNÁN-PÉREZ;448
Herrera de Alcántara;000100;HERRERA DE ALCÁNTARA;253
Herreruela;000100;HERRERUELA;333
Hervás;000100;HERVÁS;3976
Higuera;000100;HIGUERA;113
Hinojal;000100;HINOJAL;401
Holguera;000100;HOLGUERA;641
Hoyos;000100;HOYOS;874
Huélaga;000100;HUÉLAGA;220
Ibahernando;000100;IBAHERNANDO;544
Jaraicejo;000100;JARAICEJO;465
Jaraíz de la Vera;000100;JARAÍZ DE LA VERA;6478
Jarandilla de la Vera;000100;JARANDILLA DE LA VERA;2828
Jarilla;000100;JARILLA;136
Jerte;000100;JERTE;1261
Ladrillar;000100;CABEZO;55
Ladrillar;000200;LADRILLAR;102
Ladrillar;000300;MESTAS (LAS);39
Ladrillar;000400;RIOMALO DE ARRIBA;5
Logrosán;000100;LOGROSÁN;1994
Losar de la Vera;000100;LOSAR DE LA VERA;2699
Madrigal de la Vera;000100;MADRIGAL DE LA VERA;1579
Madrigalejo;000100;MADRIGALEJO;1751
Madroñera;000100;MADROÑERA;2533
Majadas;000100;MAJADAS;1323
Malpartida de Cáceres;000100;MALPARTIDA DE CÁCERES;4122
Malpartida de Plasencia;000100;BAZAGONA (LA);8
Malpartida de Plasencia;000200;HAZA DE LA CONCEPCIÓN;8
Malpartida de Plasencia;000300;MALPARTIDA DE PLASENCIA;4531
Malpartida de Plasencia;000400;PALAZUELO-EMPALME;40
Malpartida de Plasencia;000500;PANTANO DE NAVABUENA;9
Malpartida de Plasencia;000600;URDIMALAS;6
Marchagaz;000100;MARCHAGAZ;207
Mata de Alcántara;000100;MATA DE ALCÁNTARA;305
Membrío;000100;MEMBRÍO;622
Mesas de Ibor;000100;MESAS DE IBOR;162
Miajadas;000100;ALONSO DE OJEDA;321
Miajadas;000200;CASAR DE MIAJADAS;282
Miajadas;000300;MIAJADAS;9004
Millanes;000100;MILLANES;248
Mirabel;000100;MIRABEL;660
Mohedas de Granadilla;000100;MOHEDAS DE GRANADILLA;836
Monroy;000100;MONROY;954
Montánchez;000100;MONTÁNCHEZ;1682
Montehermoso;000100;ATALAYA;0
Montehermoso;000200;MONTEHERMOSO;5738
Montehermoso;000300;VALRIO (MONTEHERMOSO);1
Moraleja;000400;MORALEJA;6750
Morcillo;000100;MORCILLO;371
Parque Natural de Monfragüe;000100;MONFRAGÜE;0
Navaconcejo;000100;NAVACONCEJO;1990
Navalmoral de la Mata;000100;NAVALMORAL DE LA MATA;17129
Navalvillar de Ibor;000100;NAVALVILLAR DE IBOR;408
Navas del Madroño;000100;NAVAS DEL MADROÑO;1292
Navezuelas;000100;NAVEZUELAS;637
Nuñomoral;000100;ACEITUNILLA;70
Nuñomoral;000200;ASEGUR;99
Nuñomoral;000300;CEREZAL;132
Nuñomoral;000400;FRAGOSA;146
Nuñomoral;000500;GASCO (EL);109
Nuñomoral;000600;MARTILANDRÁN;120
Nuñomoral;000700;NUÑOMORAL;299
Nuñomoral;000800;RUBIACO;78
Nuñomoral;000900;VEGAS DE CORIA;219
Oliva de Plasencia;000100;ALMENDRAL;0
Oliva de Plasencia;000200;OLIVA DE PLASENCIA;303
Palomero;000100;PALOMERO;406
Pasarón de la Vera;000100;PASARÓN DE LA VERA;632
Pedroso de Acim;000100;PEDROSO DE ACIM;80
Peraleda de la Mata;000100;PERALEDA DE LA MATA;1369
Peraleda de San Román;000100;PERALEDA DE SAN ROMÁN;310
Perales del Puerto;000100;PERALES DEL PUERTO;952
Pescueza;000100;PESCUEZA;148
Pesga (La);000100;PESGA (LA);1034
Piedras Albas;000100;PIEDRAS ALBAS;147
Pinofranqueado;000100;ALDEHUELA;17
Pinofranqueado;000200;AVELLANAR;15
Pinofranqueado;000300;CASTILLO;69
Pinofranqueado;000400;ERÍAS;55
Pinofranqueado;000500;HORCAJO;55
Pinofranqueado;000600;MESEGAL;29
Pinofranqueado;000700;MUELA;68
Pinofranqueado;000800;OVEJUELA;79
Pinofranqueado;000900;PINOFRANQUEADO;1233
Pinofranqueado;001000;ROBLEDO (PINOFRANQUEADO);48
Pinofranqueado;001100;SAUCEDA;68
Piornal;000100;PIORNAL;1519
Plasencia;000100;PLASENCIA;39500
Plasencia;000200;PRADOCHANO;157
Plasencia;000300;SAN GIL;256
Plasenzuela;000100;PLASENZUELA;492
Portaje;000100;PORTAJE;355
Portezuelo;000100;PORTEZUELO;218
Pozuelo de Zarzón;000100;POZUELO DE ZARZÓN;475
Puerto de Santa Cruz;000100;PUERTO DE SANTA CRUZ;317
Rebollar;000100;REBOLLAR;214
Riolobos;000100;PAJARES DE LA RIVERA;14
Riolobos;000200;RIOLOBOS;1217
Robledillo de Gata;000100;ROBLEDILLO DE GATA;91
Robledillo de la Vera;000100;ROBLEDILLO DE LA VERA;265
Robledillo de Trujillo;000100;ROBLEDILLO DE TRUJILLO;366
Robledollano;000100;ROBLEDOLLANO;310
Romangordo;000100;ROMANGORDO;259
Ruanes;000100;RUANES;83
Salorino;000100;SALORINO;565
Salvatierra de Santiago;000100;SALVATIERRA DE SANTIAGO;312
San Martín de Trevejo;000100;SAN MARTÍN DE TREVEJO;778
Santa Ana;000100;SANTA ANA;262
Santa Cruz de la Sierra;000100;SANTA CRUZ DE LA SIERRA;327
Santa Cruz de Paniagua;000100;BRONCO (EL);43
Santa Cruz de Paniagua;000200;SANTA CRUZ DE PANIAGUA;280
Santa Marta de Magasca;000100;SANTA MARTA DE MAGASCA;282
Santiago de Alcántara;000100;SANTIAGO DE ALCÁNTARA;523
Santiago del Campo;000100;SANTIAGO DEL CAMPO;252
Santibáñez el Alto;000100;SANTIBÁÑEZ EL ALTO;370
Santibáñez el Bajo;000100;SANTIBÁÑEZ EL BAJO;756
Saucedilla;000100;SAUCEDILLA;851
Segura de Toro;000100;SEGURA DE TORO;183
Serradilla;000100;SERRADILLA;1526
Serradilla;000200;VILLARREAL DE SAN CARLOS;11
Serrejón;000100;SERREJÓN;409
Sierra de Fuentes;000100;SIERRA DE FUENTES;1998
Talaván;000100;TALAVÁN;814
Talaveruela de la Vera;000100;TALAVERUELA DE LA VERA;319
Talayuela;000100;BARQUILLA (LA);353
