ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;ALBURQUERQUE;VILLAR DEL REY;2
BADAJOZ;BADAJOZ;BADAJOZ;22
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;2
BADAJOZ;MONTIJO;MONTIJO;4
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA DE LA FRONTERA;1
BADAJOZ;OLIVENZA;OLIVENZA;2
BADAJOZ;PUEBLONUEVO DEL GUADIANA;GUADIANA;2
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;1
BADAJOZ;ROCA DE LA SIERRA (LA);ROCA DE LA SIERRA (LA);2
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;1
BADAJOZ;VILLANUEVA DEL FRESNO;VILLANUEVA DEL FRESNO;1
CÁCERES;CÁCERES;CÁCERES;22
CÁCERES;LOGROSAN;CAÑAMERO;1
CÁCERES;LOGROSAN;LOGROSAN;3
CÁCERES;MIAJADAS;ALMOHARIN;2
CÁCERES;MIAJADAS;MIAJADAS;3
CÁCERES;MIAJADAS;VILLAMESIAS;1
CÁCERES;TRUJILLO;PLASENZUELA;1
CÁCERES;TRUJILLO;TORRECILLAS DE LA TIESA;1
CÁCERES;TRUJILLO;TRUJILLO;3
CORIA;CORIA;CORIA;1
CORIA;MORALEJA;MORALEJA;1
DON BENITO-VILLANUEVA;CASTUERA;CASTUERA;7
DON BENITO-VILLANUEVA;CASTUERA;HELECHAL;1
DON BENITO-VILLANUEVA;CASTUERA;HIGUERA DE LA SERENA;1
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;8
DON BENITO-VILLANUEVA;DON BENITO OESTE;MENGABRIL;1
DON BENITO-VILLANUEVA;NAVALVILLAR DE PELA;NAVALVILLAR DE PELA;1
DON BENITO-VILLANUEVA;ORELLANA LA VIEJA;GARGALIGAS;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;3
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;ZURBARÁN;1
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;ZALAMEA DE LA SERENA;1
LLERENA-ZAFRA;FUENTE DE CANTOS;FUENTE DE CANTOS;1
LLERENA-ZAFRA;MONESTERIO;MONESTERIO;2
LLERENA-ZAFRA;ZAFRA;PUEBLA DE SANCHO PEREZ;4
LLERENA-ZAFRA;ZAFRA;ZAFRA;1
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;11
MÉRIDA;GUAREÑA;GUAREÑA;2
MÉRIDA;MÉRIDA;GARROVILLA (LA);1
MÉRIDA;MÉRIDA;MÉRIDA;17
MÉRIDA;VILLAFRANCA DE LOS BARROS;HINOJOSA DEL VALLE;1
MÉRIDA;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;4
NAVALMORAL DE LA MATA;LOSAR DE LA VERA;JARANDILLA DE LA VERA;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;BELVÍS DE MONROY;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;CASATEJADA;2
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;MAJADAS;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;MILLANES;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;6
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;ROSALEJO;3
NAVALMORAL DE LA MATA;TALAYUELA;TALAYUELA;2
NAVALMORAL DE LA MATA;TALAYUELA;TIETAR;1
NAVALMORAL DE LA MATA;VILLANUEVA DE LA VERA;MADRIGAL DE LA VERA;1
PLASENCIA;JARAIZ DE LA VERA;GARGANTA LA OLLA;1
PLASENCIA;MOHEDAS DE GRANADILLA;AZABAL;1
PLASENCIA;PLASENCIA;PLASENCIA;8
