ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;BADAJOZ;BADAJOZ;36
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;5
BADAJOZ;JEREZ DE LOS CABALLEROS;VALUENGO;1
BADAJOZ;MONTIJO;MONTIJO;3
BADAJOZ;MONTIJO;PUEBLA DE LA CALZADA;1
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA DE LA FRONTERA;1
BADAJOZ;OLIVENZA;OLIVENZA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;GUADIANA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;VALDELACALZADA;2
BADAJOZ;ROCA DE LA SIERRA (LA);PUEBLA DE OBANDO;3
BADAJOZ;ROCA DE LA SIERRA (LA);ROCA DE LA SIERRA (LA);1
BADAJOZ;TALAVERA LA REAL;BALBOA;1
CÁCERES;ARROYO DE LA LUZ;ALISEDA;2
CÁCERES;BERZOCANA;BERZOCANA;2
CÁCERES;CÁCERES;CÁCERES;56
CÁCERES;CÁCERES;TORREORGAZ;4
CÁCERES;CÁCERES;VALDESALOR;2
CÁCERES;GUADALUPE;GUADALUPE;2
CÁCERES;LOGROSAN;CAÑAMERO;7
CÁCERES;LOGROSAN;LOGROSAN;1
CÁCERES;TALAVAN;MONROY;1
CÁCERES;TRUJILLO;ALDEACENTENERA;1
CÁCERES;TRUJILLO;MADROÑERA;2
CÁCERES;TRUJILLO;SANTA MARTA DE MAGASCA;6
CÁCERES;VALENCIA DE ALCÁNTARA;VALENCIA DE ALCÁNTARA;1
CÁCERES;ZORITA;ALCOLLARIN;1
CÁCERES;ZORITA;GARCIAZ;1
CORIA;CECLAVIN;ZARZA LA MAYOR;2
CORIA;CORIA;CORIA;3
CORIA;HOYOS;VILLASBUENAS DE GATA;1
CORIA;MORALEJA;MOHEDA (LA);1
CORIA;MORALEJA;MORALEJA;7
CORIA;TORREJONCILLO;VALDENCIN;1
DON BENITO-VILLANUEVA;CABEZA DEL BUEY;CABEZA DEL BUEY;1
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;9
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;VILLARTA DE LOS MONTES;1
DON BENITO-VILLANUEVA;ORELLANA LA VIEJA;GUADALPERALES (LOS);3
DON BENITO-VILLANUEVA;SANTA AMALIA;SANTA AMALIA;3
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;HABA (LA);1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;4
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FERIA;1
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FUENTE DEL MAESTRE;12
LLERENA-ZAFRA;SANTOS DE MAIMONA (LOS);SANTOS DE MAIMONA (LOS);1
LLERENA-ZAFRA;ZAFRA;ALCONERA;2
LLERENA-ZAFRA;ZAFRA;BURGUILLOS DEL CERRO;2
LLERENA-ZAFRA;ZAFRA;PUEBLA DE SANCHO PEREZ;1
MÉRIDA;ACEUCHAL;ACEUCHAL;5
MÉRIDA;ACEUCHAL;VILLALBA DE LOS BARROS;3
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;7
MÉRIDA;CALAMONTE;CALAMONTE;13
MÉRIDA;CORDOBILLA DE LÁCARA;CORDOBILLA DE LÁCARA;1
MÉRIDA;GUAREÑA;VALDETORRES;1
MÉRIDA;MÉRIDA;DON ÁLVARO;1
MÉRIDA;MÉRIDA;MÉRIDA;13
MÉRIDA;MÉRIDA;MIRANDILLA;3
MÉRIDA;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;2
NAVALMORAL DE LA MATA;BOHONAL DE IBOR;BOHONAL DE IBOR;1
NAVALMORAL DE LA MATA;LOSAR DE LA VERA;LOSAR DE LA VERA;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;CASATEJADA;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;2
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;PERALEDA DE LA MATA;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;ROSALEJO;2
NAVALMORAL DE LA MATA;TALAYUELA;TALAYUELA;8
NAVALMORAL DE LA MATA;TALAYUELA;TIETAR;1
PLASENCIA;AHIGAL;AHIGAL;1
PLASENCIA;AHIGAL;SANTIBAÑEZ EL BAJO;1
PLASENCIA;CABEZUELA DEL VALLE;JERTE;1
PLASENCIA;CABEZUELA DEL VALLE;NAVACONCEJO;1
PLASENCIA;PLASENCIA;MALPARTIDA DE PLASENCIA;2
PLASENCIA;PLASENCIA;PLASENCIA;16
