ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;ALBURQUERQUE;ALBURQUERQUE;1
BADAJOZ;ALBURQUERQUE;CODOSERA (LA);4
BADAJOZ;ALBURQUERQUE;VILLAR DEL REY;1
BADAJOZ;ALCONCHEL;CHELES;6
BADAJOZ;ALCONCHEL;HIGUERA DE VARGAS;1
BADAJOZ;BADAJOZ;BADAJOZ;101
BADAJOZ;GÉVORA;SAGRAJAS;1
BADAJOZ;GÉVORA;VALDEBOTOA;1
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;6
BADAJOZ;MONTIJO;LOBÓN;7
BADAJOZ;MONTIJO;MONTIJO;48
BADAJOZ;MONTIJO;PUEBLA DE LA CALZADA;3
BADAJOZ;MONTIJO;TORREMAYOR;3
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA DE LA FRONTERA;1
BADAJOZ;OLIVA DE LA FRONTERA;ZAHINOS;1
BADAJOZ;OLIVENZA;OLIVENZA;27
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;4
BADAJOZ;PUEBLONUEVO DEL GUADIANA;VALDELACALZADA;6
BADAJOZ;ROCA DE LA SIERRA (LA);PUEBLA DE OBANDO;1
BADAJOZ;ROCA DE LA SIERRA (LA);ROCA DE LA SIERRA (LA);3
BADAJOZ;SAN VICENTE DE ALCÁNTARA;SAN VICENTE DE ALCÁNTARA;23
BADAJOZ;SANTA MARTA;CORTE DE PELEAS;4
BADAJOZ;SANTA MARTA;MORERA (LA);2
BADAJOZ;SANTA MARTA;PARRA (LA);2
BADAJOZ;SANTA MARTA;SALVATIERRA DE LOS BARROS;1
BADAJOZ;SANTA MARTA;SANTA MARTA;11
BADAJOZ;TALAVERA LA REAL;ALBUERA (LA);1
BADAJOZ;TALAVERA LA REAL;ALVARADO;1
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;14
BADAJOZ;TALAVERA LA REAL;VILLAFRANCO DEL GUADIANA;2
BADAJOZ;VALVERDE DE LEGANÉS;TORRE DE MIGUEL SESMERO;3
BADAJOZ;VALVERDE DE LEGANÉS;VALVERDE DE LEGANÉS;7
BADAJOZ;VILLANUEVA DEL FRESNO;VILLANUEVA DEL FRESNO;1
CÁCERES;ALCÁNTARA;ALCÁNTARA;6
CÁCERES;ALCÁNTARA;MATA DE ALCÁNTARA;1
CÁCERES;ALCUESCAR;ALCUESCAR;13
CÁCERES;ALCUESCAR;MONTÁNCHEZ;2
CÁCERES;ARROYO DE LA LUZ;ALISEDA;4
CÁCERES;CÁCERES;CÁCERES;53
CÁCERES;CÁCERES;MALPARTIDA DE CÁCERES;6
CÁCERES;CASAR DE CÁCERES;CASAR DE CÁCERES;8
CÁCERES;GUADALUPE;GUADALUPE;3
CÁCERES;MIAJADAS;CAMPO LUGAR;4
CÁCERES;MIAJADAS;CASAR DE MIAJADAS;1
CÁCERES;MIAJADAS;MIAJADAS;2
CÁCERES;NAVAS DEL MADROÑO;BROZAS;2
CÁCERES;NAVAS DEL MADROÑO;GARROVILLAS DE ALCONÉTAR;4
CÁCERES;SANTIAGO DE ALCÁNTARA;SANTIAGO DE ALCÁNTARA;1
CÁCERES;TALAVAN;MONROY;1
CÁCERES;TRUJILLO;ALDEACENTENERA;5
CÁCERES;TRUJILLO;MADROÑERA;9
CÁCERES;TRUJILLO;TORRECILLAS DE LA TIESA;1
CÁCERES;TRUJILLO;TRUJILLO;2
CÁCERES;VALDEFUENTES;TORRE DE SANTA MARIA;6
CÁCERES;VALDEFUENTES;TORREMOCHA;1
CÁCERES;ZORITA;MADRIGALEJO;8
CÁCERES;ZORITA;ZORITA;1
CORIA;CECLAVIN;CECLAVIN;4
CORIA;CECLAVIN;ZARZA LA MAYOR;10
CORIA;CORIA;CASILLAS DE CORIA;5
CORIA;CORIA;CORIA;15
CORIA;HOYOS;ACEBO;1
CORIA;HOYOS;CILLEROS;1
CORIA;HOYOS;VILLASBUENAS DE GATA;2
CORIA;MORALEJA;MORALEJA;4
CORIA;TORRE DE DON MIGUEL;GATA;1
CORIA;TORRE DE DON MIGUEL;SANTIBAÑEZ EL ALTO;1
CORIA;TORREJONCILLO;TORREJONCILLO;2
CORIA;VALVERDE DEL FRESNO;SAN MARTIN DE TREVEJO;4
CORIA;VALVERDE DEL FRESNO;VALVERDE DEL FRESNO;1
DON BENITO-VILLANUEVA;CABEZA DEL BUEY;PEÑALSORDO;1
