ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;BADAJOZ;BADAJOZ;26
BADAJOZ;GEVORA;NOVELDA DEL GUADIANA;2
BADAJOZ;GEVORA;SAGRAJAS;1
BADAJOZ;MONTIJO;MONTIJO;2
BADAJOZ;PUEBLONUEVO DEL GUADIANA;GUADIANA;1
BADAJOZ;ROCA DE LA SIERRA (LA);PUEBLA DE OBANDO;2
BADAJOZ;SANTA MARTA;ENTRÍN BAJO;1
BADAJOZ;TALAVERA LA REAL;ALBUERA (LA);1
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;3
CÁCERES;CÁCERES;CÁCERES;14
CÁCERES;CÁCERES;MALPARTIDA DE CÁCERES;1
CÁCERES;MIAJADAS;MIAJADAS;4
CÁCERES;TRUJILLO;PLASENZUELA;1
CÁCERES;TRUJILLO;ROBLEDILLO DE TRUJILLO;2
CÁCERES;TRUJILLO;SANTA CRUZ DE LA SIERRA;5
CÁCERES;TRUJILLO;TORRECILLAS DE LA TIESA;1
CÁCERES;TRUJILLO;TRUJILLO;4
CORIA;CORIA;CORIA;6
CORIA;MORALEJA;MORALEJA;3
CORIA;MORALEJA;VEGAVIANA;4
CORIA;TORREJONCILLO;CACHORRILLA;2
CORIA;TORREJONCILLO;PORTAJE;23
DON BENITO-VILLANUEVA;CASTUERA;CASTUERA;1
DON BENITO-VILLANUEVA;CASTUERA;HELECHAL;1
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;3
DON BENITO-VILLANUEVA;ORELLANA LA VIEJA;ORELLANA LA VIEJA;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;8
LLERENA-ZAFRA;AZUAGA;CAMPILLO DE LLERENA;3
LLERENA-ZAFRA;FREGENAL DE LA SIERRA;HIGUERA LA REAL;1
LLERENA-ZAFRA;FUENTE DE CANTOS;FUENTE DE CANTOS;1
LLERENA-ZAFRA;LLERENA;AHILLONES;1
LLERENA-ZAFRA;MONESTERIO;MONESTERIO;1
LLERENA-ZAFRA;ZAFRA;PUEBLA DE SANCHO PEREZ;2
LLERENA-ZAFRA;ZAFRA;VALENCIA DEL VENTOSO;1
LLERENA-ZAFRA;ZAFRA;ZAFRA;1
MÉRIDA;ACEUCHAL;ACEUCHAL;4
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;15
MÉRIDA;CALAMONTE;ARROYO DE SAN SERVÁN;1
MÉRIDA;MÉRIDA;MÉRIDA;13
MÉRIDA;MÉRIDA;VALVERDE DE MÉRIDA;1
MÉRIDA;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;BELVIS DE MONROY;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;CASATEJADA;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;1
PLASENCIA;HERVAS;BAÑOS DE MONTEMAYOR;2
PLASENCIA;JARAIZ DE LA VERA;JARAIZ DE LA VERA;4
PLASENCIA;PLASENCIA;PLASENCIA;73
PLASENCIA;PLASENCIA;VALDEIÑIGOS;1
