ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;ALBURQUERQUE;ALBURQUERQUE;1
BADAJOZ;ALBURQUERQUE;CODOSERA (LA);6
BADAJOZ;ALBURQUERQUE;VILLAR DEL REY;10
BADAJOZ;ALCONCHEL;CHELES;1
BADAJOZ;ALCONCHEL;HIGUERA DE VARGAS;1
BADAJOZ;BADAJOZ;BADAJOZ;184
BADAJOZ;BARCARROTA;BARCARROTA;2
BADAJOZ;GÉVORA;GÉVORA;4
BADAJOZ;GÉVORA;NOVELDA DEL GUADIANA;1
BADAJOZ;GÉVORA;SAGRAJAS;7
BADAJOZ;GÉVORA;VALDEBOTOA;10
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;2
BADAJOZ;MONTIJO;BARBAÑO;1
BADAJOZ;MONTIJO;LOBÓN;4
BADAJOZ;MONTIJO;MONTIJO;71
BADAJOZ;MONTIJO;PUEBLA DE LA CALZADA;6
BADAJOZ;MONTIJO;TORREMAYOR;3
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA DE LA FRONTERA;3
BADAJOZ;OLIVA DE LA FRONTERA;ZAHINOS;1
BADAJOZ;OLIVENZA;OLIVENZA;9
BADAJOZ;OLIVENZA;SAN JORGE DE ALOR;2
BADAJOZ;PUEBLONUEVO DEL GUADIANA;ALCAZABA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;11
BADAJOZ;PUEBLONUEVO DEL GUADIANA;VALDELACALZADA;17
BADAJOZ;ROCA DE LA SIERRA (LA);PUEBLA DE OBANDO;2
BADAJOZ;ROCA DE LA SIERRA (LA);ROCA DE LA SIERRA (LA);3
BADAJOZ;SAN VICENTE DE ALCÁNTARA;SAN VICENTE DE ALCÁNTARA;30
BADAJOZ;SANTA MARTA;CORTE DE PELEAS;2
BADAJOZ;SANTA MARTA;ENTRÍN BAJO;1
BADAJOZ;SANTA MARTA;SALVATIERRA DE LOS BARROS;2
BADAJOZ;SANTA MARTA;SANTA MARTA;6
BADAJOZ;TALAVERA LA REAL;ALBUERA (LA);8
BADAJOZ;TALAVERA LA REAL;ALVARADO;3
BADAJOZ;TALAVERA LA REAL;BALBOA;2
BADAJOZ;TALAVERA LA REAL;GUADAJIRA;2
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;5
BADAJOZ;VALVERDE DE LEGANÉS;TORRE DE MIGUEL SESMERO;1
BADAJOZ;VALVERDE DE LEGANÉS;VALVERDE DE LEGANÉS;29
BADAJOZ;VILLANUEVA DEL FRESNO;VALENCIA DEL MOMBUEY;1
BADAJOZ;VILLANUEVA DEL FRESNO;VILLANUEVA DEL FRESNO;6
CÁCERES;ALCUESCAR;ALCUESCAR;6
CÁCERES;ALCUESCAR;MONTÁNCHEZ;3
CÁCERES;ARROYO DE LA LUZ;ALISEDA;2
CÁCERES;ARROYO DE LA LUZ;ARROYO DE LA LUZ;3
CÁCERES;CÁCERES;CÁCERES;81
CÁCERES;CÁCERES;MALPARTIDA DE CÁCERES;5
CÁCERES;CASAR DE CÁCERES;CASAR DE CÁCERES;22
CÁCERES;MIAJADAS;ALONSO DE OJEDA;2
CÁCERES;MIAJADAS;CAMPO LUGAR;2
CÁCERES;MIAJADAS;ESCURIAL;2
CÁCERES;MIAJADAS;MIAJADAS;7
CÁCERES;MIAJADAS;VILLAMESIAS;5
CÁCERES;NAVAS DEL MADROÑO;GARROVILLAS DE ALCONÉTAR;4
CÁCERES;TRUJILLO;BELÉN;1
CÁCERES;TRUJILLO;BOTIJA;1
CÁCERES;TRUJILLO;MADROÑERA;1
CÁCERES;TRUJILLO;TORRECILLAS DE LA TIESA;2
CÁCERES;TRUJILLO;TRUJILLO;6
CÁCERES;VALDEFUENTES;TORRE DE SANTA MARIA;2
CÁCERES;VALENCIA DE ALCÁNTARA;VALENCIA DE ALCÁNTARA;11
CÁCERES;ZORITA;MADRIGALEJO;7
CÁCERES;ZORITA;ZORITA;4
CORIA;CECLAVIN;ZARZA LA MAYOR;8
CORIA;CORIA;CASILLAS DE CORIA;3
CORIA;CORIA;CORIA;7
CORIA;HOYOS;VILLASBUENAS DE GATA;3
CORIA;MORALEJA;MORALEJA;2
CORIA;TORRE DE DON MIGUEL;CADALSO;5
CORIA;TORREJONCILLO;PORTEZUELO;1
CORIA;TORREJONCILLO;TORREJONCILLO;2
CORIA;VALVERDE DEL FRESNO;SAN MARTIN DE TREVEJO;8
CORIA;VALVERDE DEL FRESNO;VALVERDE DEL FRESNO;3
DON BENITO-VILLANUEVA;CABEZA DEL BUEY;CABEZA DEL BUEY;2
DON BENITO-VILLANUEVA;CABEZA DEL BUEY;PEÑALSORDO;1
DON BENITO-VILLANUEVA;CAMPANARIO;CAMPANARIO;6
DON BENITO-VILLANUEVA;CAMPANARIO;QUINTANA DE LA SERENA;11
DON BENITO-VILLANUEVA;CASTUERA;BENQUERENCIA DE LA SERENA;1
DON BENITO-VILLANUEVA;CASTUERA;CASTUERA;10
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;81
DON BENITO-VILLANUEVA;DON BENITO;MEDELLÍN;4
DON BENITO-VILLANUEVA;DON BENITO;MENGABRIL;1
DON BENITO-VILLANUEVA;DON BENITO;YELBES;2
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;CASTILBLANCO;1
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;FUENLABRADA DE LOS MONTES;3
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;HERRERA DEL DUQUE;15
DON BENITO-VILLANUEVA;ORELLANA LA VIEJA;ORELLANA LA VIEJA;3
DON BENITO-VILLANUEVA;SANTA AMALIA;RUECAS;1
DON BENITO-VILLANUEVA;SANTA AMALIA;SANTA AMALIA;6
DON BENITO-VILLANUEVA;SANTA AMALIA;VALDEHORNILLOS;6
DON BENITO-VILLANUEVA;SANTA AMALIA;VIVARES;3
DON BENITO-VILLANUEVA;SIRUELA;BATERNO;2
DON BENITO-VILLANUEVA;SIRUELA;GARBAYUELA;2
DON BENITO-VILLANUEVA;TALARRUBIAS;CASAS DE DON PEDRO;2
DON BENITO-VILLANUEVA;TALARRUBIAS;ESPARRAGOSA DE LARES;5
DON BENITO-VILLANUEVA;TALARRUBIAS;PUEBLA DE ALCOCER;2
DON BENITO-VILLANUEVA;TALARRUBIAS;TALARRUBIAS;7
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;CORONADA (LA);3
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;ENTRERRÍOS;2
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;PALAZUELO;2
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;PUEBLA DE ALCOLLARÍN;3
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;RENA;4
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;35
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;ZURBARÁN;4
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;MALPARTIDA DE LA SERENA;1
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;ZALAMEA DE LA SERENA;2
LLERENA-ZAFRA;AZUAGA;AZUAGA;6
LLERENA-ZAFRA;AZUAGA;CAMPILLO DE LLERENA;1
LLERENA-ZAFRA;AZUAGA;RETAMAL DE LLERENA;1
LLERENA-ZAFRA;FUENTE DE CANTOS;FUENTE DE CANTOS;2
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FERIA;1
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FUENTE DEL MAESTRE;6
LLERENA-ZAFRA;MONESTERIO;MONESTERIO;1
LLERENA-ZAFRA;SANTOS DE MAIMONA (LOS);SANTOS DE MAIMONA (LOS);7
LLERENA-ZAFRA;ZAFRA;ALCONERA;3
LLERENA-ZAFRA;ZAFRA;BURGUILLOS DEL CERRO;1
LLERENA-ZAFRA;ZAFRA;MEDINA DE LAS TORRES;2
LLERENA-ZAFRA;ZAFRA;PUEBLA DE SANCHO PEREZ;4
LLERENA-ZAFRA;ZAFRA;VALENCIA DEL VENTOSO;1
LLERENA-ZAFRA;ZAFRA;ZAFRA;18
MÉRIDA;ACEUCHAL;ACEUCHAL;30
MÉRIDA;ACEUCHAL;CORTEGANA;1
MÉRIDA;ACEUCHAL;RETAMAL;2
MÉRIDA;ACEUCHAL;SOLANA DE LOS BARROS;4
MÉRIDA;ACEUCHAL;VILLALBA DE LOS BARROS;7
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;41
MÉRIDA;CALAMONTE;ARROYO DE SAN SERVÁN;10
MÉRIDA;CALAMONTE;CALAMONTE;4
MÉRIDA;CALAMONTE;TORREMEJIA;1
MÉRIDA;CORDOBILLA DE LÁCARA;CARMONITA;3
MÉRIDA;CORDOBILLA DE LÁCARA;NAVA DE SANTIAGO (LA);3
MÉRIDA;GUAREÑA;CRISTINA;3
MÉRIDA;GUAREÑA;GUAREÑA;6
MÉRIDA;GUAREÑA;OLIVA DE MÉRIDA;3
MÉRIDA;GUAREÑA;VALDETORRES;5
MÉRIDA;HORNACHOS;HORNACHOS;1
MÉRIDA;HORNACHOS;PUEBLA DE LA REINA;3
MÉRIDA;MÉRIDA;GARROVILLA (LA);2
MÉRIDA;MÉRIDA;MÉRIDA;142
MÉRIDA;MÉRIDA;MIRANDILLA;1
MÉRIDA;MÉRIDA;SAN PEDRO DE MÉRIDA;2
MÉRIDA;VILLAFRANCA DE LOS BARROS;HINOJOSA DEL VALLE;1
MÉRIDA;VILLAFRANCA DE LOS BARROS;PUEBLA DEL PRIOR;1
MÉRIDA;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;13
MÉRIDA;ZARZA (LA);ALANGE;6
MÉRIDA;ZARZA (LA);VILLAGONZALO;1
MÉRIDA;ZARZA (LA);ZARZA (LA);10
NAVALMORAL DE LA MATA;ALMARAZ;ALMARAZ;2
NAVALMORAL DE LA MATA;ALMARAZ;DELEITOSA;3
NAVALMORAL DE LA MATA;ALMARAZ;SAUCEDILLA;2
NAVALMORAL DE LA MATA;BOHONAL DE IBOR;BOHONAL DE IBOR;1
NAVALMORAL DE LA MATA;BOHONAL DE IBOR;GARVÍN DE LA JARA;1
NAVALMORAL DE LA MATA;CASTAÑAR DE IBOR;NAVALVILLAR DE IBOR;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;30
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;VALDEHUNCAR;2
NAVALMORAL DE LA MATA;TALAYUELA;PUEBLONUEVO DE MIRAMONTES;5
NAVALMORAL DE LA MATA;TALAYUELA;TIÉTAR;1
NAVALMORAL DE LA MATA;VILLANUEVA DE LA VERA;MADRIGAL DE LA VERA;4
NAVALMORAL DE LA MATA;VILLANUEVA DE LA VERA;VIANDAR DE LA VERA;2
NAVALMORAL DE LA MATA;VILLAR DEL PEDROSO;VALDELACASA DE TAJO;2
PLASENCIA;ALDEANUEVA DEL CAMINO;ABADIA;10
PLASENCIA;ALDEANUEVA DEL CAMINO;CASAS DEL MONTE;1
PLASENCIA;ALDEANUEVA DEL CAMINO;ZARZA DE GRANADILLA;1
PLASENCIA;CABEZUELA DEL VALLE;CABEZUELA DEL VALLE;2
PLASENCIA;CABEZUELA DEL VALLE;JERTE;1
PLASENCIA;CABEZUELA DEL VALLE;NAVACONCEJO;2
PLASENCIA;CASAS DEL CASTAÑAR;CASAS DEL CASTAÑAR;2
PLASENCIA;JARAIZ DE LA VERA;JARAIZ DE LA VERA;3
PLASENCIA;MONTEHERMOSO;MONTEHERMOSO;1
PLASENCIA;NUÑOMORAL;VEGAS DE CORIA;1
PLASENCIA;PINOFRANQUEADO;CAMINOMORISCO;1
PLASENCIA;PINOFRANQUEADO;PINOFRANQUEADO;1
PLASENCIA;PLASENCIA;CARCABOSO;1
PLASENCIA;PLASENCIA;MALPARTIDA DE PLASENCIA;4
PLASENCIA;PLASENCIA;PLASENCIA;15
PLASENCIA;SERRADILLA;MIRABEL;3
PLASENCIA;SERRADILLA;SERRADILLA;1
