ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;ALBURQUERQUE;ALBURQUERQUE;14
BADAJOZ;ALBURQUERQUE;CODOSERA (LA);6
BADAJOZ;ALBURQUERQUE;VILLAR DEL REY;4
BADAJOZ;ALCONCHEL;ALCONCHEL;1
BADAJOZ;ALCONCHEL;HIGUERA DE VARGAS;1
BADAJOZ;BADAJOZ;BADAJOZ;206
BADAJOZ;BARCARROTA;BARCARROTA;2
BADAJOZ;GÉVORA;GÉVORA;6
BADAJOZ;GÉVORA;NOVELDA DEL GUADIANA;3
BADAJOZ;GÉVORA;SAGRAJAS;4
BADAJOZ;GÉVORA;VALDEBOTOA;6
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;7
BADAJOZ;JEREZ DE LOS CABALLEROS;VALLE DE MATAMOROS;1
BADAJOZ;JEREZ DE LOS CABALLEROS;VALUENGO;1
BADAJOZ;LA ROCA DE LA SIERRA;PUEBLA DE OBANDO;1
BADAJOZ;MONTIJO;LACARA;3
BADAJOZ;MONTIJO;LOBÓN;3
BADAJOZ;MONTIJO;MONTIJO;63
BADAJOZ;MONTIJO;TORREMAYOR;1
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA DE LA FRONTERA;8
BADAJOZ;OLIVA DE LA FRONTERA;ZAHINOS;4
BADAJOZ;OLIVENZA;OLIVENZA;51
BADAJOZ;PUEBLONUEVO DEL GUADIANA;GUADIANA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;6
BADAJOZ;PUEBLONUEVO DEL GUADIANA;VALDELACALZADA;6
BADAJOZ;ROCA DE LA SIERRA (LA);ROCA DE LA SIERRA (LA);3
BADAJOZ;SAN VICENTE DE ALCÁNTARA;SAN VICENTE DE ALCÁNTARA;38
BADAJOZ;SANTA MARTA;CORTE DE PELEAS;8
BADAJOZ;SANTA MARTA;NOGALES;2
BADAJOZ;SANTA MARTA;PARRA (LA);1
BADAJOZ;SANTA MARTA;SALVATIERRA DE LOS BARROS;1
BADAJOZ;SANTA MARTA;SANTA MARTA;8
BADAJOZ;TALAVERA LA REAL;ALBUERA (LA);9
BADAJOZ;TALAVERA LA REAL;ALVARADO;1
BADAJOZ;TALAVERA LA REAL;BALBOA;2
BADAJOZ;TALAVERA LA REAL;GUADAJIRA;1
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;16
BADAJOZ;TALAVERA LA REAL;VILLAFRANCO DEL GUADIANA;2
BADAJOZ;VALVERDE DE LEGANÉS;ALMENDRAL;2
BADAJOZ;VALVERDE DE LEGANÉS;TORRE DE MIGUEL SESMERO;3
