ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;BADAJOZ;BADAJOZ;51
BADAJOZ;GÉVORA;SAGRAJAS;1
BADAJOZ;GÉVORA;VALDEBOTOA;1
BADAJOZ;MONTIJO;LOBÓN;1
BADAJOZ;MONTIJO;MONTIJO;3
BADAJOZ;MONTIJO;TORREMAYOR;1
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA DE LA FRONTERA;5
BADAJOZ;OLIVA DE LA FRONTERA;ZAHINOS;3
BADAJOZ;OLIVENZA;SAN FRANCISCO DE OLIVENZA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;GUADIANA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;3
BADAJOZ;PUEBLONUEVO DEL GUADIANA;VALDELACALZADA;1
BADAJOZ;SAN VICENTE DE ALCÁNTARA;SAN VICENTE DE ALCÁNTARA;2
BADAJOZ;SANTA MARTA;SANTA MARTA;2
BADAJOZ;TALAVERA LA REAL;BALBOA;3
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;1
BADAJOZ;TALAVERA LA REAL;VILLAFRANCO DEL GUADIANA;1
BADAJOZ;VALVERDE DE LEGANÉS;VALVERDE DE LEGANÉS;1
BADAJOZ;VILLANUEVA DEL FRESNO;VILLANUEVA DEL FRESNO;1
CÁCERES;ALCÁNTARA;ALCÁNTARA;1
CÁCERES;ARROYO DE LA LUZ;ARROYO DE LA LUZ;2
CÁCERES;BERZOCANA;BERZOCANA;2
CÁCERES;CÁCERES;CÁCERES;43
CÁCERES;CACERES;MALPARTIDA DE CÁCERES;1
CÁCERES;CÁCERES;TORREORGAZ;1
CÁCERES;CASAR DE CÁCERES;CASAR DE CÁCERES;2
CÁCERES;CASAR DE CÁCERES;CAÑAVERAL;2
CÁCERES;GUADALUPE;GUADALUPE;1
CÁCERES;LOGROSAN;CAÑAMERO;1
CÁCERES;TRUJILLO;TRUJILLO;6
CÁCERES;VALENCIA DE ALCÁNTARA;HUERTAS DE CANSA (LAS);1
CÁCERES;ZORITA;GARCIAZ;3
CÁCERES;ZORITA;MADRIGALEJO;2
CORIA;CORIA;BATÁN (EL);1
CORIA;HOYOS;ACEBO;1
CORIA;HOYOS;CILLEROS;2
CORIA;MORALEJA;VEGAVIANA;1
CORIA;TORREJONCILLO;TORREJONCILLO;1
CORIA;VALVERDE DEL FRESNO;ELJAS;1
DON BENITO-VILLANUEVA;CABEZA DEL BUEY;CABEZA DEL BUEY;1
DON BENITO-VILLANUEVA;CAMPANARIO;CAMPANARIO;5
DON BENITO-VILLANUEVA;CAMPANARIO;QUINTANA DE LA SERENA;1
DON BENITO-VILLANUEVA;CASTUERA;CASTUERA;3
DON BENITO-VILLANUEVA;CASTUERA;MONTERRUBIO DE LA SERENA;5
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;24
DON BENITO-VILLANUEVA;DON BENITO;MEDELLÍN;1
DON BENITO-VILLANUEVA;DON BENITO;MENGABRIL;2
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;FUENLABRADA DE LOS MONTES;1
DON BENITO-VILLANUEVA;NAVALVILLAR DE PELA;NAVALVILLAR DE PELA;3
DON BENITO-VILLANUEVA;ORELLANA LA VIEJA;ORELLANA LA VIEJA;2
DON BENITO-VILLANUEVA;SANTA AMALIA;RUECAS;2
DON BENITO-VILLANUEVA;SANTA AMALIA;SANTA AMALIA;4
DON BENITO-VILLANUEVA;TALARRUBIAS;PUEBLA DE ALCÓCER;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VALDIVIA;3
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;7
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;ESPARRAGOSA DE LA SERENA;1
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;MALPARTIDA DE LA SERENA;1
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;ZALAMEA DE LA SERENA;10
LLERENA-ZAFRA;AZUAGA;AZUAGA;2
LLERENA-ZAFRA;FUENTE DE CANTOS;BIENVENIDA;1
LLERENA-ZAFRA;FUENTE DE CANTOS;FUENTE DE CANTOS;2
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FERIA;1
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FUENTE DEL MAESTRE;1
LLERENA-ZAFRA;MONESTERIO;MONTEMOLÍN;1
LLERENA-ZAFRA;ZAFRA;BURGUILLOS DEL CERRO;1
LLERENA-ZAFRA;ZAFRA;ZAFRA;5
MÉRIDA;ACEUCHAL;ACEUCHAL;1
MÉRIDA;ACEUCHAL;RETAMAL;1
MÉRIDA;ACEUCHAL;SOLANA DE LOS BARROS;1
MÉRIDA;ACEUCHAL;VILLALBA DE LOS BARROS;1
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;7
MÉRIDA;CALAMONTE;ARROYO DE SAN SERVÁN;1
MÉRIDA;CORDOBILLA DE LÁCARA;CORDOBILLA DE LÁCARA;1
MÉRIDA;GUAREÑA;GUAREÑA;2
MÉRIDA;GUAREÑA;OLIVA DE MÉRIDA;1
MÉRIDA;HORNACHOS;HORNACHOS;1
MÉRIDA;MÉRIDA;MÉRIDA;36
MÉRIDA;VILLAFRANCA DE LOS BARROS;HINOJOSA DEL VALLE;2
MÉRIDA;VILLAFRANCA DE LOS BARROS;RIBERA DEL FRESNO;2
MÉRIDA;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;4
MÉRIDA;ZARZA DE ALANGE;ALANGE;4
MÉRIDA;ZARZA DE ALANGE;ZARZA (LA);3
NAVALMORAL DE LA MATA;BOHONAL DE IBOR;PERALEDA DE SAN ROMÁN;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;MILLANES;2
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;5
NAVALMORAL DE LA MATA;TALAYUELA;TIÉTAR;2
PLASENCIA;AHIGAL;MARCHAGAZ;1
PLASENCIA;ALDEANUEVA DEL CAMINO;ZARZA DE GRANADILLA;1
PLASENCIA;CABEZUELA DEL VALLE;CABEZUELA DEL VALLE;1
PLASENCIA;JARAIZ DE LA VERA;JARAIZ DE LA VERA;3
PLASENCIA;MOHEDAS DE GRANADILLA;CASAR DE PALOMERO;1
PLASENCIA;PLASENCIA;ALAGÓN DEL RÍO;3
PLASENCIA;PLASENCIA;GALISTEO;2
PLASENCIA;PLASENCIA;MALPARTIDA DE PLASENCIA;1
PLASENCIA;PLASENCIA;PLASENCIA;19
PLASENCIA;PLASENCIA;TEJEDA DE TIÉTAR;1
PLASENCIA;SERRADILLA;MIRABEL;1
