ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;ALBURQUERQUE;CODOSERA (LA);1
BADAJOZ;ALBURQUERQUE;VILLAR DEL REY;1
BADAJOZ;ALCONCHEL;ALCONCHEL;2
BADAJOZ;ALCONCHEL;CHELES;1
BADAJOZ;BADAJOZ;BADAJOZ;105
BADAJOZ;GÉVORA;GÉVORA;3
BADAJOZ;GÉVORA;NOVELDA DEL GUADIANA;1
BADAJOZ;GÉVORA;VALDEBOTOA;2
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;7
BADAJOZ;MONTIJO;MONTIJO;30
BADAJOZ;MONTIJO;PUEBLA DE LA CALZADA;1
BADAJOZ;OLIVA DE LA FRONTERA;ZAHINOS;1
BADAJOZ;OLIVENZA;OLIVENZA;21
BADAJOZ;OLIVENZA;SAN JORGE DE ALOR;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;GUADIANA;4
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;17
BADAJOZ;PUEBLONUEVO DEL GUADIANA;VALDELACALZADA;5
BADAJOZ;ROCA DE LA SIERRA (LA);PUEBLA DE OBANDO;1
BADAJOZ;SANTA MARTA;PARRA (LA);6
BADAJOZ;SANTA MARTA;SALVATIERRA DE LOS BARROS;4
BADAJOZ;TALAVERA LA REAL;ALBUERA (LA);2
BADAJOZ;TALAVERA LA REAL;ALVARADO;1
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;2
BADAJOZ;VALVERDE DE LEGANÉS;ALMENDRAL;1
BADAJOZ;VALVERDE DE LEGANÉS;VALVERDE DE LEGANÉS;8
BADAJOZ;VILLANUEVA DEL FRESNO;VILLANUEVA DEL FRESNO;1
CÁCERES;ARROYO DE LA LUZ;ALISEDA;4
CÁCERES;ARROYO DE LA LUZ;ARROYO DE LA LUZ;9
CÁCERES;BERZOCANA;BERZOCANA;1
CÁCERES;CÁCERES;CÁCERES;125
CÁCERES;CÁCERES;MALPARTIDA DE CÁCERES;2
CÁCERES;CÁCERES;TORREORGAZ;3
CÁCERES;CASAR DE CÁCERES;CASAR DE CÁCERES;8
CÁCERES;CASAR DE CÁCERES;CASAS DE MILLÁN;1
CÁCERES;LOGROSAN;LOGROSAN;2
CÁCERES;MIAJADAS;ESCURIAL;3
CÁCERES;MIAJADAS;MIAJADAS;7
CÁCERES;NAVAS DEL MADROÑO;BROZAS;1
CÁCERES;NAVAS DEL MADROÑO;GARROVILLAS DE ALCONETAR;1
CÁCERES;SALORINO;HERRERUELA;5
CÁCERES;TALAVAN;MONROY;1
CÁCERES;TALAVAN;TALAVAN;1
CÁCERES;TRUJILLO;MADROÑERA;3
CÁCERES;TRUJILLO;TRUJILLO;3
CÁCERES;VALDEFUENTES;SALVATIERRA DE SANTIAGO;1
CÁCERES;VALDEFUENTES;TORRE DE SANTA MARIA;2
CÁCERES;VALDEFUENTES;ZARZA DE MONTANCHEZ;1
CÁCERES;VALENCIA DE ALCÁNTARA;VALENCIA DE ALCÁNTARA;6
CÁCERES;ZORITA;MADRIGALEJO;4
CÁCERES;ZORITA;ZORITA;2
CORIA;CECLAVIN;ZARZA LA MAYOR;7
CORIA;CORIA;CORIA;12
CORIA;CORIA;MORCILLO;4
CORIA;HOYOS;HOYOS;2
CORIA;HOYOS;ACEBO;1
CORIA;MORALEJA;MORALEJA;4
CORIA;TORRE DE DON MIGUEL;CADALSO;4
CORIA;TORRE DE DON MIGUEL;GATA;3
CORIA;TORREJONCILLO;TORREJONCILLO;4
CORIA;TORREJONCILLO;VALDENCIN;1
CORIA;VALVERDE DEL FRESNO;SAN MARTIN DE TREVEJO;2
DON BENITO-VILLANUEVA;CAMPANARIO;CAMPANARIO;10
DON BENITO-VILLANUEVA;CAMPANARIO;QUINTANA DE LA SERENA;4
DON BENITO-VILLANUEVA;CASTUERA;CASTUERA;3
