ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;ALBURQUERQUE;ALBURQUERQUE;8
BADAJOZ;ALBURQUERQUE;CODOSERA (LA);9
BADAJOZ;ALBURQUERQUE;VILLAR DEL REY;11
BADAJOZ;ALCONCHEL;ALCONCHEL;1
BADAJOZ;ALCONCHEL;CHELES;1
BADAJOZ;ALCONCHEL;HIGUERA DE VARGAS;1
BADAJOZ;BADAJOZ;BADAJOZ;183
BADAJOZ;BARCARROTA;BARCARROTA;5
BADAJOZ;BARCARROTA;SALVALEÓN;2
BADAJOZ;GÉVORA;GÉVORA;8
BADAJOZ;GÉVORA;NOVELDA DEL GUADIANA;2
BADAJOZ;GÉVORA;SAGRAJAS;3
BADAJOZ;GÉVORA;VALDEBOTOA;4
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;6
BADAJOZ;JEREZ DE LOS CABALLEROS;VALLE DE SANTA ANA;1
BADAJOZ;MONTIJO;BARBAÑO;1
BADAJOZ;MONTIJO;MONTIJO;40
BADAJOZ;MONTIJO;PUEBLA DE LA CALZADA;2
BADAJOZ;MONTIJO;TORREMAYOR;2
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA DE LA FRONTERA;6
BADAJOZ;OLIVA DE LA FRONTERA;ZAHINOS;3
BADAJOZ;OLIVENZA;OLIVENZA;23
BADAJOZ;OLIVENZA;SAN JORGE DE ALOR;2
BADAJOZ;OLIVENZA;SAN RAFAEL DE OLIVENZA;3
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;12
BADAJOZ;PUEBLONUEVO DEL GUADIANA;VALDELACALZADA;11
BADAJOZ;ROCA DE LA SIERRA (LA);ROCA DE LA SIERRA (LA);1
BADAJOZ;SAN VICENTE DE ALCÁNTARA;SAN VICENTE DE ALCÁNTARA;26
BADAJOZ;SANTA MARTA;CORTE DE PELEAS;8
BADAJOZ;SANTA MARTA;MORERA (LA);1
BADAJOZ;SANTA MARTA;NOGALES;2
BADAJOZ;SANTA MARTA;PARRA (LA);3
BADAJOZ;SANTA MARTA;SALVATIERRA DE LOS BARROS;2
BADAJOZ;SANTA MARTA;SANTA MARTA;11
BADAJOZ;TALAVERA LA REAL;ALBUERA (LA);24
BADAJOZ;TALAVERA LA REAL;ALVARADO;1
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;9
BADAJOZ;TALAVERA LA REAL;VILLAFRANCO DEL GUADIANA;1
BADAJOZ;VALVERDE DE LEGANÉS;ALMENDRAL;4
BADAJOZ;VALVERDE DE LEGANÉS;TORRE DE MIGUEL SESMERO;3
BADAJOZ;VALVERDE DE LEGANÉS;VALVERDE DE LEGANÉS;17
BADAJOZ;VILLANUEVA DEL FRESNO;VALENCIA DEL MOMBUEY;2
BADAJOZ;VILLANUEVA DEL FRESNO;VILLANUEVA DEL FRESNO;3
CÁCERES;ALCUESCAR;MONTÁNCHEZ;2
CÁCERES;ARROYO DE LA LUZ;ALISEDA;1
CÁCERES;ARROYO DE LA LUZ;ARROYO DE LA LUZ;7
CÁCERES;CÁCERES;CÁCERES;92
CÁCERES;CÁCERES;MALPARTIDA DE CÁCERES;3
CÁCERES;CÁCERES;SIERRA DE FUENTES;1
CÁCERES;CÁCERES;TORREQUEMADA;1
CÁCERES;CÁCERES;VALDESALOR;1
CÁCERES;CASAR DE CÁCERES;CAÑAVERAL;2
CÁCERES;CASAR DE CÁCERES;CASAR DE CÁCERES;5
CÁCERES;GUADALUPE;GUADALUPE;2
CÁCERES;LOGROSÁN;LOGROSÁN;1
CÁCERES;MIAJADAS;ESCURIAL;1
CÁCERES;MIAJADAS;MIAJADAS;5
CÁCERES;SANTIAGO DE ALCÁNTARA;CEDILLO;1
CÁCERES;TRUJILLO;MADROÑERA;3
CÁCERES;TRUJILLO;TORRECILLAS DE LA TIESA;1
CÁCERES;TRUJILLO;TRUJILLO;19
CÁCERES;VALENCIA DE ALCÁNTARA;VALENCIA DE ALCÁNTARA;8
CÁCERES;ZORITA;MADRIGALEJO;2
CÁCERES;ZORITA;ZORITA;1
CORIA;CECLAVIN;ZARZA LA MAYOR;7
CORIA;CORIA;CASILLAS DE CORIA;3
CORIA;CORIA;CORIA;9
CORIA;CORIA;PUEBLA DE ARGEME;3
CORIA;HOYOS;VILLASBUENAS DE GATA;0
CORIA;MORALEJA;MORALEJA;8
CORIA;MORALEJA;VEGAVIANA;1
CORIA;TORRE DE DON MIGUEL;CADALSO;0
CORIA;TORRE DE DON MIGUEL;GATA;1
CORIA;TORREJONCILLO;TORREJONCILLO;10
CORIA;TORREJONCILLO;VALDENCÍN;1
CORIA;VALVERDE DEL FRESNO;SAN MARTIN DE TREVEJO;9
DON BENITO-VILLANUEVA;CABEZA DEL BUEY;PEÑALSORDO;7
DON BENITO-VILLANUEVA;CAMPANARIO;CAMPANARIO;2
DON BENITO-VILLANUEVA;CAMPANARIO;QUINTANA DE LA SERENA;1
DON BENITO-VILLANUEVA;CASTUERA;CASTUERA;14
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;37
DON BENITO-VILLANUEVA;DON BENITO;MENGABRIL;2
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;FUENLABRADA DE LOS MONTES;3
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;HERRERA DEL DUQUE;19
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;VILLARTA DE LOS MONTES;1
DON BENITO-VILLANUEVA;NAVALVILLAR DE PELA;CASAS DE DON PEDRO;5
DON BENITO-VILLANUEVA;NAVALVILLAR DE PELA;NAVALVILLAR DE PELA;3
DON BENITO-VILLANUEVA;ORELLANA LA VIEJA;ACEDERA;1
DON BENITO-VILLANUEVA;ORELLANA LA VIEJA;GARGALIGAS;1
DON BENITO-VILLANUEVA;ORELLANA LA VIEJA;GUADALPERALES (LOS);1
DON BENITO-VILLANUEVA;SANTA AMALIA;RUECAS;2
DON BENITO-VILLANUEVA;SANTA AMALIA;SANTA AMALIA;3
DON BENITO-VILLANUEVA;SANTA AMALIA;VALDEHORNILLOS;11
DON BENITO-VILLANUEVA;SIRUELA;BATERNO;1
DON BENITO-VILLANUEVA;SIRUELA;GARLITOS;1
DON BENITO-VILLANUEVA;SIRUELA;SIRUELA;1
DON BENITO-VILLANUEVA;TALARRUBIAS;TALARRUBIAS;4
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;CORONADA (LA);2
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;ENTRERRIOS;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;MAGACELA;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;RENA;3
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VALDIVIA;2
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;24
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;ZURBARÁN;3
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;MALPARTIDA DE LA SERENA;1
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;ZALAMEA DE LA SERENA;4
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLAR DE RENA;1
LLERENA-ZAFRA;AZUAGA;AZUAGA;7
LLERENA-ZAFRA;AZUAGA;CAMPILLO DE LLERENA;1
LLERENA-ZAFRA;AZUAGA;GRANJA DE TORREHERMOSA;1
LLERENA-ZAFRA;FREGENAL DE LA SIERRA;BODONAL DE LA SIERRA;1
LLERENA-ZAFRA;FREGENAL DE LA SIERRA;CABEZA LA VACA;2
LLERENA-ZAFRA;FREGENAL DE LA SIERRA;FREGENAL DE LA SIERRA;1
LLERENA-ZAFRA;FREGENAL DE LA SIERRA;SEGURA DE LEÓN;3
LLERENA-ZAFRA;FUENTE DE CANTOS;FUENTE DE CANTOS;1
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FUENTE DEL MAESTRE;16
LLERENA-ZAFRA;LLERENA;AHILLONES;2
LLERENA-ZAFRA;MONESTERIO;MONESTERIO;2
LLERENA-ZAFRA;SANTOS DE MAIMONA (LOS);SANTOS DE MAIMONA (LOS);10
LLERENA-ZAFRA;ZAFRA;ALCONERA;2
LLERENA-ZAFRA;ZAFRA;BURGUILLOS DEL CERRO;5
LLERENA-ZAFRA;ZAFRA;MEDINA DE LAS TORRES;3
LLERENA-ZAFRA;ZAFRA;PUEBLA DE SANCHO PEREZ;3
LLERENA-ZAFRA;ZAFRA;VALENCIA DEL VENTOSO;2
LLERENA-ZAFRA;ZAFRA;ZAFRA;10
MÉRIDA;ACEUCHAL;ACEUCHAL;17
MÉRIDA;ACEUCHAL;RETAMAL;5
MÉRIDA;ACEUCHAL;SOLANA DE LOS BARROS;1
MÉRIDA;ACEUCHAL;VILLALBA DE LOS BARROS;2
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;40
MÉRIDA;CALAMONTE;ARROYO DE SAN SERVAN;15
MÉRIDA;CALAMONTE;CALAMONTE;2
MÉRIDA;CALAMONTE;TORREMEJÍA;2
MÉRIDA;CORDOBILLA DE LACARA;CARMONITA;1
MÉRIDA;CORDOBILLA DE LACARA;NAVA DE SANTIAGO (LA);5
MÉRIDA;GUAREÑA;CRISTINA;6
MÉRIDA;GUAREÑA;GUAREÑA;3
MÉRIDA;GUAREÑA;MANCHITA;1
MÉRIDA;GUAREÑA;OLIVA DE MÉRIDA;4
MÉRIDA;GUAREÑA;VALDETORRES;2
MÉRIDA;HORNACHOS;HORNACHOS;4
MÉRIDA;HORNACHOS;PALOMAS;1
MÉRIDA;HORNACHOS;PUEBLA DE LA REINA;2
MÉRIDA;MÉRIDA;ALJUCÉN;3
MÉRIDA;MÉRIDA;DON ÁLVARO;1
MÉRIDA;MÉRIDA;GARROVILLA (LA);2
MÉRIDA;MÉRIDA;MÉRIDA;73
MÉRIDA;MÉRIDA;SAN PEDRO DE MÉRIDA;5
MÉRIDA;MÉRIDA;TRUJILLANOS;5
MÉRIDA;MÉRIDA;VALVERDE DE MÉRIDA;4
MÉRIDA;VILLAFRANCA DE LOS BARROS;RIBERA DEL FRESNO;2
MÉRIDA;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;42
MÉRIDA;ZARZA (LA);ALANGE;1
MÉRIDA;ZARZA (LA);ZARZA (LA);11
NAVALMORAL DE LA MATA;BOHONAL DE IBOR;GARVIN DE LA JARA;2
NAVALMORAL DE LA MATA;BOHONAL DE IBOR;PERALEDA DE SAN ROMAN;1
NAVALMORAL DE LA MATA;LOSAR DE LA VERA;JARANDILLA DE LA VERA;1
NAVALMORAL DE LA MATA;LOSAR DE LA VERA;LOSAR DE LA VERA;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;MAJADAS;2
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;6
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;ROSALEJO;2
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;VALDEHUNCAR;1
NAVALMORAL DE LA MATA;TALAYUELA;PUEBLONUEVO DE MIRAMONTES;2
NAVALMORAL DE LA MATA;TALAYUELA;TALAYUELA;2
NAVALMORAL DE LA MATA;VILLANUEVA DE LA VERA;MADRIGAL DE LA VERA;2
