ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;BADAJOZ;BADAJOZ;17
BADAJOZ;BARCARROTA;SALVALEÓN;1
BADAJOZ;GÉVORA;SAGRAJAS;1
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;1
BADAJOZ;MONTIJO;MONTIJO;4
BADAJOZ;PUEBLO NUEVO DEL GUADIANA;GUADIANA;1
BADAJOZ;SAN VICENTE DE ALCANTARA;SAN VICENTE DE ALCANTARA;4
BADAJOZ;SANTA MARTA;SANTA MARTA;3
BADAJOZ;TALAVERA LA REAL;ALBUERA (LA);2
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;1
CÁCERES;ARROYO DE LA LUZ;ARROYO DE LA LUZ;6
CÁCERES;CÁCERES;CÁCERES;15
CÁCERES;CASAR DE CÁCERES;GRIMALDO;2
CÁCERES;MIAJADAS;ALMOHARIN;3
CÁCERES;MIAJADAS;ALONSO DE OJEDA;1
CÁCERES;MIAJADAS;ESCURIAL;2
CÁCERES;MIAJADAS;MIAJADAS;5
CÁCERES;MIAJADAS;VILLAMESIAS;1
CÁCERES;TRUJILLO;BOTIJA;1
CÁCERES;TRUJILLO;MADROÑERA;2
CÁCERES;TRUJILLO;SANTA CRUZ DE LA SIERRA;1
CÁCERES;VALDEFUENTES;TORREMOCHA;1
CÁCERES;ZORITA;MADRIGALEJO;1
CORIA;CORIA;CORIA;2
CORIA;MORALEJA;MORALEJA;6
CORIA;MORALEJA;VEGAVIANA;4
DON BENITO-VILLANUEVA;CASTUERA;CASTUERA;2
DON BENITO-VILLANUEVA;CASTUERA;MONTERRUBIO DE LA SERENA;1
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;12
DON BENITO-VILLANUEVA;NAVALVILLAR DE PELA;NAVALVILLAR DE PELA;1
DON BENITO-VILLANUEVA;SANTA AMALIA;TORREFRESNEDA;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;HABA (LA);1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;2
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;ZURBARÁN;1
LLERENA-ZAFRA;FUENTE DE CANTOS;FUENTE DE CANTOS;4
LLERENA-ZAFRA;LLERENA;LLERENA;1
LLERENA-ZAFRA;MONESTERIO;MONESTERIO;4
LLERENA-ZAFRA;SANTOS DE MAIMONA (LOS);SANTOS DE MAIMONA (LOS);1
LLERENA-ZAFRA;ZAFRA;PUEBLA DE SANCHO PÉREZ;1
LLERENA-ZAFRA;ZAFRA;ZAFRA;4
MÉRIDA;ACEUCHAL;ACEUCHAL;2
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;7
MÉRIDA;CALAMONTE;TORREMEJIA;1
MÉRIDA;MÉRIDA;MÉRIDA;6
MÉRIDA;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;2
MÉRIDA;ZARZA (LA);VILLAGONZALO;1
NAVALMORAL DE LA MATA;BOHONAL DE IBOR;BOHONAL DE IBOR;3
PLASENCIA;CABEZUELA DEL VALLE;NAVACONCEJO;1
PLASENCIA;HERVÁS;HERVÁS;1
PLASENCIA;JARAIZ DE LA VERA;JARAIZ DE LA VERA;1
PLASENCIA;MONTEHERMOSO;SANTA CRUZ DE PANIAGUA;1
PLASENCIA;PINOFRANQUEADO;CAMBRON;1
PLASENCIA;PLASENCIA;PLASENCIA;9
PLASENCIA;SERRADILLA;TORREJON EL RUBIO;1
