ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;BADAJOZ;BADAJOZ;9
BADAJOZ;BARCARROTA;BARCARROTA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;1
CÁCERES;CÁCERES;CÁCERES;6
CÁCERES;CÁCERES;MALPARTIDA DE CÁCERES;1
CÁCERES;CASAR DE CÁCERES;CAÑAVERAL;1
CÁCERES;MIAJADAS;MIAJADAS;1
CÁCERES;TRUJILLO;TORRECILLAS DE LA TIESA;3
CORIA;CORIA;CORIA;1
CORIA;CORIA;VALRIO (MONTEHERMOSO);1
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;1
DON BENITO-VILLANUEVA;SIRUELA;GARBAYUELA;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;TORVISCAL (EL);1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VALDIVIA;3
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;14
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLAR DE RENA;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;ZURBARÁN;2
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FERIA;2
LLERENA-ZAFRA;LLERENA;LLERENA;1
MÉRIDA;ACEUCHAL;ACEUCHAL;1
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;7
MÉRIDA;GUAREÑA;GUAREÑA;1
MÉRIDA;MÉRIDA;MÉRIDA;3
PLASENCIA;ALDEANUEVA DEL CAMINO;ZARZA DE GRANADILLA;2
PLASENCIA;CABEZUELA DEL VALLE;JERTE;1
PLASENCIA;HERVÁS;HERVÁS;1
PLASENCIA;JARAIZ DE LA VERA;JARAIZ DE LA VERA;1
PLASENCIA;MONTEHERMOSO;MONTEHERMOSO;6
PLASENCIA;NUÑOMORAL;ROBLEDO;2
PLASENCIA;PLASENCIA;ALAGÓN DEL RÍO;1
PLASENCIA;PLASENCIA;PLASENCIA;14
PLASENCIA;PLASENCIA;VILLAR DE PLASENCIA;1
