ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;BADAJOZ;BADAJOZ;16
BADAJOZ;TALAVERA LA REAL;BALBOA;1
BADAJOZ;SANTA MARTA;ENTRÍN BAJO;1
BADAJOZ;GÉVORA;GÉVORA;1
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;6
BADAJOZ;ALBURQUERQUE;CODOSERA (LA);1
BADAJOZ;MONTIJO;LOBÓN;2
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA DE LA FRONTERA;2
BADAJOZ;OLIVENZA;OLIVENZA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;6
BADAJOZ;SAN VICENTE DE ALCÁNTARA;SAN VICENTE DE ALCÁNTARA;1
BADAJOZ;SANTA MARTA;SANTA MARTA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;VALDELACALZADA;1
CÁCERES;ALCÁNTARA;ALCÁNTARA;1
CÁCERES;ARROYO DE LA LUZ;ARROYO DE LA LUZ;2
CÁCERES;CÁCERES;CÁCERES;12
CÁCERES;LOGROSAN;CAÑAMERO;1
CÁCERES;MIAJADAS;MIAJADAS;16
CÁCERES;MIAJADAS;ALONSO DE OJEDA;1
CÁCERES;MIAJADAS;CASAR DE MIAJADAS;1
CÁCERES;NAVAS DEL MADROÑO;BROZAS;3
CÁCERES;SANTIAGO DE ALCÁNTARA;CARBAJO;1
CÁCERES;TRUJILLO;TORRECILLAS DE LA TIESA;1
CÁCERES;TRUJILLO;TRUJILLO;2
CÁCERES;TRUJILLO URBANO;MADROÑERA;1
CÁCERES;VALENCIA DE ALCÁNTARA;VALENCIA DE ALCÁNTARA;1
CÁCERES;BERZOCANA;BERZOCANA;1
CORIA;MORALEJA;MORALEJA;1
CORIA;HOYOS;ACEBO;2
CORIA;CORIA;CASAS DE DON GOMEZ;1
CORIA;TORRE DE DON MIGUEL;GATA;1
CORIA;CECLAVIN;CECLAVÍN;2
DON BENITO-VILLANUEVA;CABEZA DEL BUEY;CABEZA DEL BUEY;3
DON BENITO-VILLANUEVA;CAMPANARIO;QUINTANA DE LA SERENA;1
