ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;ALBURQUERQUE;ALBURQUERQUE;4
BADAJOZ;ALBURQUERQUE;CODOSERA (LA);6
BADAJOZ;ALBURQUERQUE;VILLAR DEL REY;1
BADAJOZ;ALCONCHEL;CHELES;5
BADAJOZ;ALCONCHEL;HIGUERA DE VARGAS;3
BADAJOZ;ALCONCHEL;TALIGA;1
BADAJOZ;BADAJOZ;BADAJOZ;184
BADAJOZ;GÉVORA;GÉVORA;7
BADAJOZ;GÉVORA;SAGRAJAS;1
BADAJOZ;GÉVORA;VALDEBOTOA;4
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS;1
BADAJOZ;JEREZ DE LOS CABALLEROS;VALUENGO;2
BADAJOZ;MONTIJO;BARBAÑO;1
BADAJOZ;MONTIJO;LACARA;1
BADAJOZ;MONTIJO;LOBÓN;2
BADAJOZ;MONTIJO;MONTIJO;58
BADAJOZ;MONTIJO;PUEBLA DE LA CALZADA;2
BADAJOZ;MONTIJO;TORREMAYOR;3
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA DE LA FRONTERA;6
BADAJOZ;OLIVA DE LA FRONTERA;ZAHINOS;2
BADAJOZ;OLIVENZA;OLIVENZA;17
BADAJOZ;OLIVENZA;SAN FRANCISCO DE OLIVENZA;3
BADAJOZ;OLIVENZA;SAN RAFAEL DE OLIVENZA;1
BADAJOZ;PUEBLONUEVO DEL GUADIANA;GUADIANA;7
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;44
BADAJOZ;PUEBLONUEVO DEL GUADIANA;VALDELACALZADA;9
BADAJOZ;ROCA DE LA SIERRA (LA);PUEBLA DE OBANDO;1
BADAJOZ;ROCA DE LA SIERRA (LA);ROCA DE LA SIERRA (LA);4
BADAJOZ;SAN VICENTE DE ALCÁNTARA;SAN VICENTE DE ALCÁNTARA;23
BADAJOZ;SANTA MARTA;CORTE DE PELEAS;9
BADAJOZ;SANTA MARTA;ENTRÍN BAJO;1
BADAJOZ;SANTA MARTA;MORERA (LA);2
BADAJOZ;SANTA MARTA;PARRA (LA);1
BADAJOZ;SANTA MARTA;SANTA MARTA;6
BADAJOZ;TALAVERA LA REAL;ALBUERA (LA);19
BADAJOZ;TALAVERA LA REAL;TALAVERA LA REAL;11
BADAJOZ;TORRE DE MIGUEL SESMERO;TORRE DE MIGUEL SESMERO;17
BADAJOZ;VALVERDE DE LEGANÉS;ALMENDRAL;1
BADAJOZ;VALVERDE DE LEGANÉS;VALVERDE DE LEGANÉS;11
BADAJOZ;VILLANUEVA DEL FRESNO;VILLANUEVA DEL FRESNO;6
CÁCERES;ALCUESCAR;ALCUESCAR;1
CÁCERES;ALCUESCAR;MONTANCHEZ;1
CÁCERES;ARROYO DE LA LUZ;ARROYO DE LA LUZ;1
CÁCERES;CÁCERES;CÁCERES;38
CÁCERES;CÁCERES;CASAS DEL CASTAÑAR;1
CÁCERES;CÁCERES;SIERRA DE FUENTES;2
CÁCERES;CÁCERES;TORREORGAZ;1
CÁCERES;CASAR DE CÁCERES;CASAR DE CÁCERES;1
CÁCERES;MIAJADAS;MIAJADAS;6
CÁCERES;NAVAS DEL MADROÑO;BROZAS;1
CÁCERES;NAVAS DEL MADROÑO;NAVAS DEL MADROÑO;1
CÁCERES;SANTIAGO DE ALCÁNTARA;CEDILLO;4
CÁCERES;SANTIAGO DE ALCÁNTARA;HERRERA DE ALCÁNTARA;2
CÁCERES;TALAVAN;HINOJAL;2
CÁCERES;TALAVAN;TALAVÁN;1
CÁCERES;TRUJILLO;MADROÑERA;3
CÁCERES;TRUJILLO;PIZARRO;1
CÁCERES;TRUJILLO;PLASENZUELA;1
CÁCERES;TRUJILLO;TORRECILLAS DE LA TIESA;1
CÁCERES;TRUJILLO;TRUJILLO;11
CÁCERES;VALENCIA DE ALCÁNTARA;VALENCIA DE ALCÁNTARA;21
CÁCERES;ZORITA;ALCOLLARÍN;1
CÁCERES;ZORITA;ZORITA;2
CORIA;CECLAVIN;ZARZA LA MAYOR;1
CORIA;CORIA;BATAN (EL);2
CORIA;CORIA;CASILLAS DE CORIA;1
CORIA;CORIA;CORIA;5
CORIA;MORALEJA;MOHEDA (LA);2
CORIA;MORALEJA;MORALEJA;5
CORIA;MORALEJA;VEGAVIANA;1
CORIA;TORREJONCILLO;PORTEZUELO;3
CORIA;TORREJONCILLO;TORREJONCILLO;2
CORIA;VALVERDE DEL FRESNO;ELJAS;1
DON BENITO-VILLANUEVA;CABEZA DEL BUEY;CABEZA DEL BUEY;1
DON BENITO-VILLANUEVA;CABEZA DEL BUEY;PEÑALSORDO;4
DON BENITO-VILLANUEVA;CAMPANARIO;CAMPANARIO;1
DON BENITO-VILLANUEVA;CAMPANARIO;QUINTANA DE LA SERENA;1
DON BENITO-VILLANUEVA;CASTUERA;CASTUERA;6
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;57
DON BENITO-VILLANUEVA;DON BENITO;MEDELLÍN;5
DON BENITO-VILLANUEVA;DON BENITO;MENGABRIL;5
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;CASTILBLANCO;3
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;FUENLABRADA DE LOS MONTES;1
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;HERRERA DEL DUQUE;3
DON BENITO-VILLANUEVA;HERRERA DEL DUQUE;VALDECABALLEROS;1
DON BENITO-VILLANUEVA;NAVALVILLAR DE PELA;CASAS DE DON PEDRO;1
DON BENITO-VILLANUEVA;NAVALVILLAR DE PELA;NAVALVILLAR DE PELA;5
DON BENITO-VILLANUEVA;ORELLANA LA VIEJA;GARGALIGAS;1
DON BENITO-VILLANUEVA;SANTA AMALIA;SANTA AMALIA;6
DON BENITO-VILLANUEVA;SANTA AMALIA;TORREFRESNEDA;1
DON BENITO-VILLANUEVA;SANTA AMALIA;VALDEHORNILLOS;1
DON BENITO-VILLANUEVA;SIRUELA;BATERNO;2
DON BENITO-VILLANUEVA;SIRUELA;GARBAYUELA;1
DON BENITO-VILLANUEVA;SIRUELA;SIRUELA;1
DON BENITO-VILLANUEVA;SIRUELA;TAMUREJO;2
DON BENITO-VILLANUEVA;TALARRUBIAS;TALARRUBIAS;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;CORONADA (LA);3
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;ENTRERRIOS;2
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;HABA (LA);3
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;PUEBLA DE ALCOLLARIN;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;RENA;5
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VALDIVIA;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;30
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;ZURBARÁN;3
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;ESPARRAGOSA DE LA SERENA;3
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;HIGUERA DE LA SERENA;3
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;PERALEDA DEL ZAUCEJO;2
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;ZALAMEA DE LA SERENA;1
LLERENA-ZAFRA;AZUAGA;AZUAGA;4
LLERENA-ZAFRA;AZUAGA;CAMPILLO DE LLERENA;3
LLERENA-ZAFRA;FREGENAL DE LA SIERRA;FREGENAL DE LA SIERRA;1
LLERENA-ZAFRA;FUENTE DE CANTOS;BIENVENIDA;1
LLERENA-ZAFRA;FUENTE DE CANTOS;FUENTE DE CANTOS;4
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FERIA;1
LLERENA-ZAFRA;FUENTE DEL MAESTRE;FUENTE DEL MAESTRE;3
LLERENA-ZAFRA;LLERENA;BERLANGA;1
LLERENA-ZAFRA;LLERENA;LLERENA;3
LLERENA-ZAFRA;MONESTERIO;MONESTERIO;3
LLERENA-ZAFRA;SANTOS DE MAIMONA (LOS);SANTOS DE MAIMONA (LOS);8
LLERENA-ZAFRA;ZAFRA;ALCONERA;5
LLERENA-ZAFRA;ZAFRA;BURGUILLOS DEL CERRO;10
LLERENA-ZAFRA;ZAFRA;MEDINA DE LAS TORRES;3
LLERENA-ZAFRA;ZAFRA;PUEBLA DE SANCHO PÉREZ;1
LLERENA-ZAFRA;ZAFRA;VALENCIA DEL VENTOSO;1
LLERENA-ZAFRA;ZAFRA;ZAFRA;17
MÉRIDA;ACEUCHAL;ACEUCHAL;16
MÉRIDA;ACEUCHAL;CORTEGANA;4
MÉRIDA;ACEUCHAL;RETAMAL;3
MÉRIDA;ACEUCHAL;VILLALBA DE LOS BARROS;5
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;46
MÉRIDA;CALAMONTE;ARROYO DE SAN SERVAN;20
MÉRIDA;CALAMONTE;TORREMEJIA;8
MÉRIDA;CORDOBILLA DE LACARA;CORDOBILLA DE LACARA;1
MÉRIDA;CORDOBILLA DE LACARA;NAVA DE SANTIAGO (LA);4
MÉRIDA;GUAREÑA;GUAREÑA;3
MÉRIDA;GUAREÑA;MANCHITA;1
MÉRIDA;GUAREÑA;OLIVA DE MÉRIDA;1
MÉRIDA;GUAREÑA;VALDETORRES;1
MÉRIDA;HORNACHOS;HORNACHOS;1
MÉRIDA;HORNACHOS;PUEBLA DE LA REINA;1
MÉRIDA;MÉRIDA;ESPARRAGALEJO;1
MÉRIDA;MÉRIDA;GARROVILLA (LA);3
MÉRIDA;MÉRIDA;MÉRIDA;57
MÉRIDA;MÉRIDA;SAN PEDRO DE MÉRIDA;10
MÉRIDA;MÉRIDA;TRUJILLANOS;3
MÉRIDA;MÉRIDA;VALVERDE DE MÉRIDA;1
MÉRIDA;VILLAFRANCA DE LOS BARROS;RIBERA DEL FRESNO;2
MÉRIDA;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;14
MÉRIDA;ZARZA (LA);ALANGE;1
MÉRIDA;ZARZA (LA);VILLAGONZALO;1
MÉRIDA;ZARZA (LA);ZARZA (LA);2
NAVALMORAL DE LA MATA;ALMARAZ;DELEITOSA;1
NAVALMORAL DE LA MATA;LOSAR DE LA VERA;JARANDILLA DE LA VERA;6
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;5
NAVALMORAL DE LA MATA;TALAYUELA;TALAYUELA;3
NAVALMORAL DE LA MATA;VILLANUEVA DE LA VERA;MADRIGAL DE LA VERA;5
NAVALMORAL DE LA MATA;VILLAR DEL PEDROSO;VALDELACASA DE TAJO;1
NAVALMORAL DE LA MATA;VILLAR DEL PEDROSO;VILLAR DEL PEDROSO;1
PLASENCIA;AHIGAL;GUIJO DE GRANADILLA;1
PLASENCIA;AHIGAL;MARCHAGAZ;1
PLASENCIA;CABEZUELA DEL VALLE;CABEZUELA DEL VALLE;3
PLASENCIA;CASAS DEL CASTAÑAR;PIORNAL;2
PLASENCIA;JARAIZ DE LA VERA;ALDEANUEVA DE LA VERA;1
PLASENCIA;JARAIZ DE LA VERA;CUACOS DE YUSTE;1
PLASENCIA;JARAIZ DE LA VERA;GARGANTA LA OLLA;1
PLASENCIA;JARAIZ DE LA VERA;JARAIZ DE LA VERA;1
PLASENCIA;JARAIZ DE LA VERA;PASARÓN DE LA VERA;4
PLASENCIA;JARAIZ DE LA VERA;TORREMENGA;1
PLASENCIA;MOHEDAS DE GRANADILLA;MOHEDAS DE GRANADILLA;1
PLASENCIA;MONTEHERMOSO;MONTEHERMOSO;2
