ÁREA DE SALUD;ZONA DE SALUD;MUNICIPIO;CASOS
BADAJOZ;ALBURQUERQUE;ALBURQUERQUE;3
BADAJOZ;BADAJOZ;BADAJOZ;27
BADAJOZ;MONTIJO;MONTIJO;17
BADAJOZ;SANTA MARTA;CORTE DE PELEAS;1
BADAJOZ;SANTA MARTA;PARRA (LA);1
BADAJOZ;SANTA MARTA;SANTA MARTA;1
BADAJOZ;VALVERDE DE LEGANES;TORRE DE MIGUEL SESMERO;1
BADAJOZ;VALVERDE DE LEGANES;VALVERDE DE LEGANES;1
CÁCERES;ARROYO DE LA LUZ;ARROYO DE LA LUZ;2
CÁCERES;CÁCERES ;CÁCERES;15
CÁCERES;CÁCERES - LA MEJOSTILLA;SIERRA DE FUENTES;2
CÁCERES;CASAR DE CÁCERES;CAÑAVERAL;2
CÁCERES;MIAJADAS;MIAJADAS;1
CÁCERES;TRUJILLO;ALDEA DEL OBISPO (LA);1
CÁCERES;TRUJILLO;JARAICEJO;1
CÁCERES;TRUJILLO;TRUJILLO;2
CÁCERES;VALENCIA DE ALCÁNTARA;CASIÑAS (LAS);1
CÁCERES;ZORITA;GARCIAZ;1
CORIA;CORIA;CASILLAS DE CORIA;2
CORIA;VALVERDE DEL FRESNO;ELJAS;1
DON BENITO-VILLANUEVA;CASTUERA;CASTUERA;1
DON BENITO-VILLANUEVA;CASTUERA;PUERTO HURRACO;1
DON BENITO-VILLANUEVA;DON BENITO;DON BENITO;3
DON BENITO-VILLANUEVA;DON BENITO;MEDELLIN;1
DON BENITO-VILLANUEVA;SANTA AMALIA;SANTA AMALIA;2
DON BENITO-VILLANUEVA;SIRUELA;GARBAYUELA;1
DON BENITO-VILLANUEVA;TALARRUBIAS;TALARRUBIAS;1
DON BENITO-VILLANUEVA;VILLANUEVA DE LA SERENA;VILLANUEVA DE LA SERENA;1
DON BENITO-VILLANUEVA;ZALAMEA DE LA SERENA;ZALAMEA DE LA SERENA;1
LLERENA-ZAFRA;LLERENA;LLERENA;1
MÉRIDA;ALMENDRALEJO;ALMENDRALEJO;14
MÉRIDA;ZARZA (LA);ZARZA (LA);1
MÉRIDA;MÉRIDA;MIRANDILLA;1
MÉRIDA;MÉRIDA;TRUJILLANOS;1
MÉRIDA;MÉRIDA;MÉRIDA;13
MÉRIDA;VILLAFRANCA DE LOS BARROS;VILLAFRANCA DE LOS BARROS;4
NAVALMORAL DE LA MATA;ALMARAZ;ALMARAZ;4
NAVALMORAL DE LA MATA;ALMARAZ;SAUCEDILLA;1
NAVALMORAL DE LA MATA;ALMARAZ;SERREJON;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;CASATEJADA;13
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;MAJADAS;1
NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;NAVALMORAL DE LA MATA;14
NAVALMORAL DE LA MATA;TALAYUELA;TALAYUELA;2
PLASENCIA;CASAS DEL CASTAÑAR;PIORNAL;2
PLASENCIA;MONTEHERMOSO;TORRECILLA DE LOS ANGELES;1
PLASENCIA;MONTEHERMOSO;HERNÁN-PÉREZ;1
PLASENCIA;PLASENCIA;PLASENCIA;9
